text,emotion
Absolutely! I will not go down without a fight. I will not allow these criminals to destroy our nation. This is WAR!!! Death to the left!,ANGRY
Strange how DC Mayor Bowser was ok with this before...,SURPRISE
"It looks like Pelosi decided to provisionally accept the republican from Iowa in the house. The same may happen to the New York representative. This means Pelosi can send them home and bring two Democrats back to serve the two year sentence. She would not do this before the runoff senate race in fear of igniting controversy. If they win both senate seats, she’ll make the move. Republicans must fight like hell!",FEAR
Please be safe! Terrorists want to kill him. They are going to try. Please watch your backs! God bless and keep you all!,FEAR
"So very sad. I have to say again, I wonder, when Pelosi and her cabal buddies were coming up with the plan to infiltrate the patriots with antifa, did they consider how absolutely pissed of those same patriots would be if one of us was killed because of her evil plan? Just wondering.",SAD
Capitol lockdown!!!!!,FEAR
BREAKING NEWS:OMG:Joe Biden will nominate Merrick Garland as attorney general,SURPRISE
It’s beyond sickening,DISGUST
What evidence are they citing Robert? Wow,SURPRISE
Looking rigged again,DISGUST
Yes it’s so crazy and sad.,SAD
Same old shit,DISGUST
"Do not get in fear. Pray and stand in intercession on God’s promises for this nation. If the news or updates is causing fear, turn it off and PRAY. #faithoverfear #washingtondc #capital #standfirminfaith",FEAR
"🇺🇸🔥Pray for POTUS!!🔥🇺🇸I see only good in God removing his faith in men, but mercy, it’s painful. 💔",SAD
God rest her soul,SAD
Sick woman,SAD
It’s absolutely sickening,DISGUST
Stupid,DISGUST
It’s time. Fight.,ANGRY
Appalling,DISGUST
WE DEMAND JUSTICE!!!,ANGRY
Sadly these real Patriots will never be heard.,SAD
"BREAKING: Paul Gosar and Ted Cruz Object To Arizona Electors, Receive Uproarious Applause - National File",SURPRISE
This is a REHEARSAL!!!!!!! This was PLANNED!!!!,DISGUST
"**BREAKING REPORT: ""A new photograph has emerged of Democratic presidential nominee Joe Biden posing with Hunter Biden and Kenes Rakishev, a Kazakh oligarch.""**",SURPRISE
"I fear  @Name Hidden  is walking into trap tomorrow. Led by Pence <a href=""/profile/VP/posts"" class=""at"">@VP</a> @Mike_Pence. A few Senators will object. Limited debate & they will certify Biden. Coup then complete.President must execute EO on foreign influence this evening & order full audit, including down ballot.",FEAR
"""They're not going to take this White House, we're gonna fight like Hell."" -President Trump (1/4/2021)",ANGRY
"[Why I Am Joining The Jan. 6 DC March For Trump]❝ I am angry. It’s not a passing emotion brought on by a single circumstance. This anger is a deep, painful, abiding anger created by a mix of frustration, despair, hopelessness, and injustice. For decades I have been told to trust American institutions and if I have grievances to work harder to improve them. I have done so, far more than most Americans, and my reward has been watching corruption and ineptitude only … ❞",ANGRY
Love this video.,HAPPY
Something smells fishy 🤔,DISGUST
Scum,DISGUST
Oh wow,SURPRISE
Hardest working president ever. Sad the media will never show all what he did for our country. And how much he love It,SAD
What bullshit,DISGUST
A sorry situation!!,SAD
HER CAREER IS OVER!! SHE'S ONLY RICH & I'M SURE HER HUBS AIN'T FUCKING HER!!! SAD BUT TRUE. SHE FUCKED HERSELF!! THAT'S GOTTA B A LONELY LIFE KNOW MATTER WHAT!!,SAD
'*' BREAKING NEWS: '*'‘Trump Is Not Conceding. Something BIG Is Happening’; Wayne Allyn Root Delivers Urgent Message To America,SURPRISE
I LOVE YOU PATRIOTS! 🇺🇸SO PROUD OF YOU!🇺🇸🇺🇸🇺🇸❤️❤️❤️🙏🙏🙏,HAPPY
HERE WE GO AGAIN. THIS IS BILLSHIT,DISGUST
"That is the most basic, fundamental, and wonderful statement I have seen!!!! Bless you!!!",HAPPY
Amazing Ariel View of Trump Rally in DC,SURPRISE
BREAKING NEWS:That’s not what he said when he testified. Changing the story much???,SURPRISE
"And he said unto them, Why are ye so fearful? How is it that ye have no faith?Mark 4: 40",FEAR
I always distrusted the bastard,DISGUST
So sad. All he had to do was send the votes backto thestates so they could audit.,SAD
Wow 😳,SURPRISE
"Wow! This is unbelievable follow <a href=""/profile/DonaldTrumpfor2020/posts"" class=""at""><a href=""/profile/DonaldTrumpfor2020/posts"" class=""at"">@DonaldTrumpfor2020</a></a",SURPRISE
The sad thing is is that I don't believe the other side don't care it's like They don't even hear it I mean how can you go without Not knowing what's going on in America right now and makes us so frustrated because we see it so plain they choose not to So disappointing,SAD
This POS is the slimiest of them all!! He worked hard to try and slow down Trump's successes in his first two years; he's ruined FOX; I suspect he's a friend of Epstein's. Just an all around waste of a human being.,DISGUST
Now they want it fuck you,ANGRY
"Video 3: Unfortunately, here are another 5,000 votes being subtracted from Perdue live on ABC.",SAD
"PATRIOTS ARRIVE IN D.C. – FIRED UP, READY TO TAKE BACK THEIR COUNTRY! FREEDOM IS RINGING OUT! – THE MARSHALL REPORT",ANGRY
"Indeed, Pence is a coward",FEAR
"Interesting to me to read what Grassley had originally stated then had his office make a correction. It seems like he might have had a Biden type of slip up. You know, the kind where he accidentally tells the truth?",SURPRISE
Time has come to get violent,ANGRY
Sad but true..,SAD
My heart is aching for her husband. My heart is aching for her loss. My heart is aching for America.,SAD
Mostly peaceful.,HAPPY
"SOUNDS VERY INTERESTING!!!President Donald Trump has replaced the top federal prosecutor in Atlanta with another Trump-appointed prosecutor from southern Georgia, bypassing a top career prosecutor.Swipe left for link",SURPRISE
Prayers. You have fought the good fight. RIP.,SAD
Your exactly right. I choose fight!!!,ANGRY
scum,DISGUST
BREAKING: Rush Limbaugh expected to return Jan 6th,SURPRISE
And to all a good night...💋❤️🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁,HAPPY
"When the people fear the government, there is tyranny...When the government fears the people...There is liberty.",FEAR
Sad it’s come to this hopefully congress gets its act together,SAD
"This is war. Moves and counter moves. Until, CHECKMATE!",ANGRY
CO IS ALWAYS ON 🔥🔥🔥,HAPPY
Everything you heard about this call was another lie. I CAN'T STAND THE LYING LIBERAL MEDIA.,DISGUST
Frightening too!,FEAR
Sad to say but I believe we are down to one option and its not gonna be fun.,SAD
Manly peaceful,HAPPY
Very interesting! I dare you to read it.,SURPRISE
Omg! This is disgusting! 🤮🤮🤮,DISGUST
This is antifa.,ANGRY
"America 🇺🇸 has spoken!! You wanted to fuck with us, Now we are FUCKING YOU BACK",ANGRY
Treatments not part of the narrative for the communist takeover. We are supposed to be so scared to death of Covid that we just stop living.,FEAR
Well that’s interesting,SURPRISE
"Paul Sperry (@paulsperry_) Tweeted:BREAKING: The suspiciously pristine Biden mail-in ballots auditors flagged in Fulton County not only had no mailing creases and not only appeared to be on different paper stock, but also contained perfectly filled-out ovals that appeared to be marked with toner instead of by hand",SURPRISE
Lots of Love,HAPPY
No. That person is antifa,ANGRY
"🚨 Call to Action Patriots🇺🇲Much fear in our nation. First and foremost, Pray. Second, may your heart be at ease. There is lawful authority, under the U.S. Constitution, for ""We The People"" to stand-up to a wholly corrupt gov't.It'll be Constitutionally organized & lawful.",FEAR
America is facing the darkest times in history. President Trump is facing a coup and he must use his constitutional rights to confront the enemies of the Republic. ECHO if you support resistance,SAD
CIVIL DISOBEDIENCE IS KEY TO FIGHT AGAINST COMMUNISM!,DISGUST
It’s meant as threats and deterrents. War will soon start or democracy goes silently into that good nice. Maybe move the wood n burn. Open the tanks up or call WH,FEAR
war...,ANGRY
A American Hero RIP,SAD
Wikileaks founder Julian Assange will not be extradited to the US after a shock ruling in his favour at London’s Old Bailey courthouse.,SURPRISE
This is a disgusting traitor and terrorist to our country and needs to remove.,DISGUST
BREAKING EXCLUSIVE: Evidence China Was Colluding with the Bidens and Providing Information on How to Defeat President Trump in the 2020 ElectionSlowly they find more stuff and Hunter Biden’s laptop. There must be a ton of stuff in that thing that will take time to figure out all of it.,SURPRISE
Let the killing commence.,ANGRY
Scary...,FEAR
This is MESSED UP!!!,DISGUST
It's truly incredible:,SURPRISE
Thank you!!!!,HAPPY
So true and so terrifying,FEAR
"Trump at DC Rally: ‘We Will Never Concede, We Will Not Take It Anymore’",ANGRY
Best happy ending ever..!!,HAPPY
WE LOVE OUR PRESIDENT!!!,HAPPY
Fight,ANGRY
"Late on Election Night – November 3, 2020 -- President Trump led Biden by approximately 100,000 votes in Wisconsin, 300,000 votes in Michigan, 300,000 votes in Georgia, and 700,000 votes in Pennsylvania. Then, suddenly, all four of these states suspended their vote counts, almost simultaneously. By the early-morning hours of the following day, Wisconsin had flipped in Biden’s favor, followed by Michigan soon thereafter. A few days later, Georgia and Pennsylvania followed suit as well.",SURPRISE
"I am totally disgusted by this! Echo if you are too and follow <a href=""/profile/WeloveDonaldTrumpusa/posts"" class=""at""><a href=""/profile/WeloveDonaldTrumpusa/posts"" class=""at"">@WeloveDonaldTrumpusa</a></a",DISGUST
"SCARY.The level of sustained and precise balance they exhibit is completely unnerving. I found it was really kind of them allow sheep to understand that there is no way they could be used against us because they're dancing.There is literally no way a dancing robot could be used to precisely target living, breathing beings, right?",FEAR
Wow! More recent info indicates BHO involved,SURPRISE
"Pro-Trump Marine Goes Off on DC Police After They Mace Stop the Steal Protesters, 'We Had Your Fucking Back, But We Ain’t Got Your Back No More!'",ANGRY
I love it!!,HAPPY
"Did you listen to Glenn Beck yesterday ? He said the same thing in a different way. fall in line and don't make Glenn look bad. thats what the average *conservative"" pundit is worried about. us looking bad lol",FEAR
Just curious did anyone else get a $600 stimulus payment in the last week or so??,SURPRISE
Scary ❌❌Watch at own Risk,FEAR
🎉🎉🎉,HAPPY
This wack is sick 😳,DISGUST
Rest In Peace🇺🇸Prayers for her family and friends 💔,SAD
Sometimes it feels like we are lone foghters out there for justice and freedom. This just bring tears to my eyes. We are not alone. #maga #trump2020 #freedom #trumpismypresident #fightback #dontgiveup #partiotsunite,SAD
Listen to this! I love it.,HAPPY
What a pussy! Disgusting,DISGUST
Thank you to each and everyone of you too !!,HAPPY
Truly sad day in America’s history!,SAD
Huge news!!! Smoking guns about Italy and Obama’s involvement in the election conspiracy.,SURPRISE
BQQM 💥💥💥,HAPPY
This is beyond scary. God protect marchers in DC.,FEAR
"Sadly - yep. What do we do now? We being tethered to doing the right thing, how can we compete with this...",SAD
The Subaru is getting closer to full EV status. Part 2: Install Tesla Batteries - Electric Conversion of a 1980 Subaru Brat Hyper9 Netgain motor EV,FEAR
"I guess THE SCARE TATIC ABOUT DEFUND THE POLICE WORKED, THEY FELL RIGHT IN LINE🤔🤔🤔🤔🤔🤔👮‍♀️👮‍♀️👮‍♀️",FEAR
BREAKING NEWS:Chuck Todd of NBC News is reporting that Mike Pence is currently engaging in discussions with the Senate re: invoking the 25th Amendment.,SURPRISE
I LOVE OUR PRESIDENT ❤️💯🙏🇺🇸,HAPPY
"TWITTER IS THREATENING TO BAN PRESIDENT TRUMP! PLEASE FOLLOW ME <a href=""/profile/theredelephantt/posts"" class=""at""><a href=""/profile/theredelephantt/posts"" class=""at"">@theredelephantt</a></a> INCASE WE ARE BANNED ON OTHER PLATFORMS!!!ECHO IF STAND WITH TRUMP!!! 🇺🇸",FEAR
I feel disheartened that my children and grandchildren will never know America the Land of the Free and Home of the Brave as I and my ancestors have.Socialism will destroy this country. The Constitution means nothing to progressive liberals. A Presidential Election fraught with corruption which could not be remedied through the courts of law. With solemn reverence I'll put the best face I can on and tell my children the Constitution of the United States stands and protects them and that our Elected representatives do listen to the United States Citizens they represent... It is with great sorrow I'll present this facade to my children. They need to feel hope and security. I'll present that to them. God Bless America !,SAD
"This is heartbreaking. Our President has been stabbed in the back and betrayed at every turn. Maybe pence will send votes back to states for legislatures to hash out instead of outright betrayal. Wishful thinking? He's supposed to be a man of God, right?",SAD
Stunning turn of events in PA may lead to Trump victory - Geller Report News,SURPRISE
Love this‼️ 🙏🏼✨🙏🏼,HAPPY
"THEN DO SOMETHING, DOJ!!",ANGRY
"After looking closely at about 1,000 faces, I’m beginning to think antifa undercover is only a small portion of this.This is looking more like angry Americans who have had enough of being kicked around. What’s going to happen when the sun goes down?",ANGRY
Well it's looking like a lot of people didn't listen Mr President now we're all going to pay the price.Some people are like sheep cain't think for them selves and it's sad.,SAD
Please patriots in DC stay safe. They’re saying there’s Antifa activity all around. Stay safe and get off the streets!! America needs our Patriots!!!,FEAR
"The are calling to delay because they are afraid of millions of people in DC today.If Pence delays, he is a traitor.",FEAR
"This is so sad, in a peaceful protest.",SAD
Always! 👍 ❤️ 🇺🇸,HAPPY
👀🔥🐸🍿,HAPPY
RIP Ashli Babbitt.🙏❤️🇺🇸❤️My deepest condolences to her family and friends...Thank you for your service.❤️🇺🇸❤️,SAD
Ben Franklin weeps,SAD
A young man raised well,HAPPY
2) Yet in Florida everything is fine. Business as usual. My friends who own restaurants making a fortune. Restaurants packed. Everyone happy & having fun. My buddies own multiple restaurants. They know no one with Covid. Not 1 employee. Not customers. Malls & business booming!,HAPPY
"From Newsmax - Ga. Shocker: Democrats Warnock, Ossoff Win Senate Runoffs  The trap was set yesterday. They went ahead with the Dominion fraud machines. Trap was sprung. The payback will be awesome!",SURPRISE
Well well...what a coincidence.,SURPRISE
"FULL EPSTEIN FLIGHT LOGS SET FOR RELEASE, SPARKING PANIC AMONG ELITES!",FEAR
"Pro-Trump Marine Goes Off on DC Police After They Mace Stop the Steal Protesters, ‘We Had Your Fucking Back, But We Ain’t Got Your Back No More!’",ANGRY
EXACTLY. COMMUNIST INDOCTRINATION,DISGUST
This kind of looks staged. My final thought for today is WTF,DISGUST
Wow! No words...,SURPRISE
wow. watch this video.,SURPRISE
BREAKING NEWS,SURPRISE
This POS,DISGUST
"Absolutely tragic. A Canadian wife tried to prevent her husband from being killed by doctors, but courts sided with his death.",SAD
FLASH: Lin Wood reports his Twitter account has been suspended,SURPRISE
I approve of storming the capitol and all news media offices.,ANGRY
Make them so afraid they will never show their faces. Or make them resign.,FEAR
"So this must be still 2020, because it is about the worst day that I can remember. The only thing we could count on to make changes is to vote, and that is now hopeless",SAD
corrupt POS,DISGUST
Love them all!,HAPPY
Disgusting piece of garbage.,DISGUST
"You know what amazes me?The FBI can solve a crime with DNA matches on Christmas day in 12 hours... while all DNA labs are closed...They can wrap up the Vegas shooting in HOURS...Sandy Hook, HOURS...But can't identify the Antifa thugs posing as patriots... that attacked the capital building?We the people had them identified within 4 hours... That's how you know this was a false flag staged by the democrats.",SURPRISE
I feel sad...I saw it happen thru someone else’s video... now I can see why our soldiers get PTSD when they see so much death & violence. 🙏🏼,SAD
Fawk Tucker Carlson he said what he needed to for ratings same as Hannity and Ingram,FEAR
"Wow. Wow. Wow. Llin Wood, I never doubted you but things are perfectly clear now.",SURPRISE
STINKY PUSSY,DISGUST
Scum bags are all alike,DISGUST
Ohhh wow 🤯,SURPRISE
Typical politician said what she needed to to try and get elected...maybe her loss will speed up the reconstruction of a new party?,FEAR
"Rigged! Corrupt Gabe Sterling Says Georgia Election Will Allow Extra Three Hours to Process Mail-in Ballots Until... 3 AM - Final Results May Take ""a Couple of Days""",DISGUST
The anxiety is real!!,FEAR
"a href=""/profile/PatriotInBK/posts"" class=""at"">@PatriotInBK</a> A couple that I know went! Said it was amazing. Law abiding and peaceful citizens gathering together for the greater good! So sad what transpired at the Capital though. 🇺🇸🇺🇸🇺🇸",SAD
"This was long, but soo interesting. This women are warriors!",SURPRISE
Just got to DC...It’s sad to see such a beautiful city turn into• Businesses boarding up• Police blocking roads and sidewalks• Military presence everywhere This is what happens when a city kneels down to the radical leftist mob.,SAD
"10 Fitness Fixes To Suit Your Mood#parlerhealthcareSAD - When you’re feeling blue the last thing you want to do is surround yourself by overly happy people who are dancing their hearts out as if they’re in a high school musical. Instead of going to a dance or aerobic class, and being surrounded by overly enthusiastic and happy people - the type of people that are happy on a monday morning - go for a swim instead.#womenshealth #healthyfood#parler #parlerusa #parleruk #parlerksa#health #healthcare #healthy #healthylifestyle #naturalhealth#holistichealth #weightloss #healthyeating#transparency2020 #saudiparler #parlerfrance #endthedemocratcommunistparty#parlerbrasil #parlercanada #parlersaudi #parleraustralia #transparency #ksaparler #parlernl#gunsofparler#parlerglobal #healthyeating #holistichealth#healthfreedom #parisaccord #diet #healthyliving",SAD
Oh wow.,SURPRISE
Blissful bride who towers over her husband silences critics: 'Love knows no boundaries',HAPPY
"No, I don’t condone violence. But, what I’m seeing today is a bunch of pissed off, angry patriots who are tired of the left beating them to hell. We have been attacked and targeted for 4 years. I hope everyone is safe, and peaceful, but this protest needed to happen. Stay safe, and don’t cause any violence, but make our voices heard!#maga #trump #trump2020 #election #election2020",ANGRY
dirty bastards,DISGUST
So sad.,SAD
Yet the vast majority still don’t see itThis is a sad time for our great nation,SAD
GOP fears Electoral College challenge will ‘come back to haunt’ it I has already started!,FEAR
TIME IS NOW...WAR,ANGRY
So good!,HAPPY
These guys are Philadelphia Antifa,ANGRY
"The vote count stopped at 10PM in Georgia last night with the Republicans ahead, this morning the Democrats won, wow amazing.",SURPRISE
The Whites - Keep on the Sunny Side - YouTubeTime to play this and go forward in determination and peace! ❤️🇺🇸,HAPPY
Thank You Lord🙏🏻🙏🏻🙏🏻🙏🏻,HAPPY
"Apple, just as bad as Gaggle, Twatter, and FakeSpookAssholes",DISGUST
Interesting - I saw PA had already switched to Trump?,SURPRISE
McConnell says he'sworried about hurting our system of voting. He done more damage by not seeing this through to find out if the fraud is real as we know it is. By not looking hes asking for more trouble.,FEAR
Breaking Huge: New Video Shows Dominion’s Eric Coomer Admitting HUGE Thing About Their Voting Machine Systems,SURPRISE
"Sad, the only thing I could ever say positive about a Democrat is at least those crooked vipers stick together!",SAD
"IM SORRY!!! I’m sorry I led the senate charge to contest the election! I didn’t mean for anything like this to happen! I never wanted anyone to get shot! I just wanted Donald Trump’s favor. I have blood my hands! Oh God, oh fuck!!",SAD
WAR IT IS!!!,ANGRY
So weird!,DISGUST
"Everyone must stop complying. I know it's scary to go against the grain as it is not in the nature of conservative people to buck the system , that is exactly what we all must do if this is going to end. Only WE can stop the madness!",FEAR
Lindsy ghram is disgusting traitor,DISGUST
"With Enrique Tarrio under indictment and facing felony charges I have today, with a heavy heart, assumed the responsibility of Chairman of the Proud Boys, effective immediately. We offer prayers to our fallen brother for his eventual vindication. UHURU!",SAD
So sad. She has died.,SAD
SURPRISE SURPRISE!!! Georgia Dominion machines are down in 3 Republican areas.,SURPRISE
"#7 TOP STORY ON CGN Videos: Patriots Breach Security at Capitol Building, Furious Over Pence’s Betrayal",ANGRY
Commonwealth of Australia 🇦🇺 registered with the US SEC. looks like we’ve been registered since 1933. Who knew huh?,SURPRISE
He is too despicable!!!!,DISGUST
Active livestream right now in DC. Patriots pushed through one line of law enforcement to move toward BLM & Antifa. Second line of law enforcement reinforced. Things are heated. Nobody’s giving ground. BLM/Antifa a block away behind another line of law enforcement.,ANGRY
This is absurd,DISGUST
N F A 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁Happy days,HAPPY
This was Antifa! No doubt.,ANGRY
Yay!!!,HAPPY
Buckle up 2021,FEAR
Stand for American! Fight fight fight!,ANGRY
'*' BREAKING NEWS: '*'Trump Committed to Challenging Election Beyond Joint Session on Jan. 6,SURPRISE
Storm the People’s House. It’s our House and we demand our say!!,ANGRY
"Neighbors bought a leaf blower 🤫 Swipe to shop discounted mock-neck tops for the win 💛 But um... ARE YOU KEEPING UP WITH GA!? This is anxiety on another level lol, we have to keep the Senate!",FEAR
Let the PANIC begin,FEAR
Biden is spewing lies. There were a few that broke into the capital. Millions were outside peacefully protesting. The crap he is spring is disgusting. Antifa burnt down cities and he stood silent. This is disgusting.,DISGUST
It was a nervous and experienced Capitol Hill f****** joke of a policeman that think themselves the pictorial guard that shot somebody in the neck by accident you can check Taylor Hanson's Twitter feed he was right next to the girl when she got shot liveAnd you can tell these are antifa fools that are shooting off the fire extinguishers,FEAR
I like her....,HAPPY
"This makes so much sense .. TY for posting this, bc I’m heartbroken thinking the blue turned on us ..!!",SAD
Go ahead bitch,ANGRY
"""Stupid is as stupid does.""",DISGUST
"Besides everything else today, the true sadness is the only people who stayed loyal to the POTUS were the American people. All others bailed when the going got tough. So sad.",SAD
Oh man this breaks my heart,SAD
"Thank you for the republic, Mr. Franklin, et al. I’m sorry we lost it.",SAD
Doesn’t get much sweeter than this. Actions have consequences,HAPPY
An angry veteran screams at police and calls them traitors as Trump supporters break through the second line of police who are keeping them from accessing Capitol grounds:,ANGRY
SO MUCH RAGE INSIDE ME NOW,ANGRY
"It seems we need to remind these cops where their salaries actually come from. Politicians have no money to give to anything that isn't stolen at gun point from hard working Americans. The thin blue line never had Trump's back, they're only in it to protect themselves. Disgusting Red Coats! Dont force Patriots to start returning fire because you won't live through it.#AMERICANLIVESMATTER",DISGUST
Tom Brandt2/2Just walked through our United States Capitol. This is despicable. This is unbelievable. All of it.,DISGUST
#Patriots as far as the eye can see – no coverage in the media… Surprise.#Amazing #withyouinspirit,SURPRISE
Maga man at the capitol,ANGRY
Brian Kilmeade you are another cowardly human being! You have disappointed me I thought you had backbone!! All you Republicans running away from Trump are doing so only to keep your own asses in government! You all disgust me to no end!!! I will NEVER vote Republican again! You bunch of cowards!! I am not the only Republican that feels this way!! Wanted to save your jobs? You may be out sooner than you think!! Cowards!!,DISGUST
Sad day.,SAD
Lovely.,HAPPY
Hooray. Let’s start the Patriot Party!,HAPPY
Now we all know he’s a swamp rat,DISGUST
These people are antifa,ANGRY
Ha ha ha,HAPPY
"This evidence shows high treason by Obama. No wonder he & Hilary Clinton predicted so confidently Trump would never enter The White House. If this is true it’s disgusting. If true, it should put Obama behind bars for life, along with his cronies. Joe Biden too. SO MUCH corruption coming out. 😎✊#stopthesteal#bidencrimefamily#exposeobamacorruption#presidenttrump4moreyears",DISGUST
This is WAR,ANGRY
Hooray!,HAPPY
This is war...,ANGRY
"Senator <a href=""/profile/TedCruz/posts"" class=""at"">@TedCruz</a> is right. We should all be terrified. #ampFW",FEAR
I went to bed Republicans were winning Georgia... I wake up and the Democrats have the lead... shocker,SURPRISE
Unity people unity! Yeah right. They’re disgusting chicken shit garbage. One way or another this has to stop. You would pray they had more sense than to want a war.,DISGUST
Happy little blue.,HAPPY
Under siege,FEAR
While I gently weep. Wish I was there,SAD
I love American and Americans,HAPPY
Contemptible police,DISGUST
"Today is unique in the history of America. My condolences go out the family of the young lady who unfortunately loss her life today. My thoughts & prayers go out to @Mike_Pence, members of congress, their staff, law enforcement & the military who were impacted by today’s events.",SAD
Wow interesting insight Joe,SURPRISE
I grieve for our country....it died today,SAD
Same fucking bullshit again,DISGUST
WE LOVE YOU PRESIDENT TRUMP!❤❤❤❤❤❤❤❤❤❤❤,HAPPY
Wrong again douchbag,DISGUST
Wowww,SURPRISE
"Watch this one 💥“Tragedy has struck in the alternative/independent media world as Brandy Vaughan, a well-known drug, health & vaccine safety advocate, and former Merck (pharmaceutical company) representative, was found dead in her home leaving behind a nine year old child who found her. This information comes from multiple friends of Vaughan across social media outlets, as well as Facebook itself, having now posted a note atop her Facebook page.”",SAD
SURPRISE,SURPRISE
Revelation of the method. Mentioned it in previous post,SURPRISE
"TODAY, THANK GOD",HAPPY
"Perhaps he is worried that the American people will demand war when they find out how the Chinese helped the Democrats steal the election. We shouldn't declare war on China, we should sell the Democrats to China, and they can recoup some of the money through organ harvesting.",FEAR
It’s so typical everyone is sobbing in but no one does anything No wonder the Democrats are going to win the senate It’s like taking candy from a baby,SAD
Is it just me or anyone else JUST PLAIN fed up with watching any news,DISGUST
Hahaha Good!!!,HAPPY
lease sharedisgusting piece of shit,DISGUST
So sad they don't shoot the left,SAD
Wow,SURPRISE
Amazing how cops allow that kind of staging.,SURPRISE
Breaking: Some GOP lawmakers have reversed course and decided not to object to Electoral College vote count | Just The News,SURPRISE
It's good to be the king.,HAPPY
this was antifa! confirmed!,ANGRY
"Wonderful news for residents of Georgia.A military officer as US Attorney for Northern Georgia --- no wonder there's panic in DC.Politicians in DC should be shitting bricks --- this guy won't take their bullshit anymore ......Then again, after tomorrow, there will probably be quite a few empty seats in Congress.The new freshman class in Congress just may be more law-abiding than the current fossils.",FEAR
Very proud of all the people that today show up and fight for America,HAPPY
🙏❤,HAPPY
DC Is Starting to Panic as It Becomes Clear How MASSIVE Pro-Trump Rally Will BeGod Wins!,FEAR
Disgusting move,DISGUST
DISGUSTING,DISGUST
✌🏼🇺🇸Today is A Good Day ✌🏼🇺🇸💕💕💕Donald J. Trump💕💕💕✌🏼🇺🇸Still My 💝 PRESIDENT ✌🏼,HAPPY
#Fight,ANGRY
"I get it sometimes there has to be war to have peace! My heart is breaking, it's hard to breathe! Our Patriots that are putting their lives at risk RIGHT NOW! FOR US THE AMERICAN PEOPLE!!!! THIS US WHAT TO CALL GOD'S CHILDREN COMING TOGETHER against evil! Brother and Sisters in Washington we fellow Brothers and Sisters are praying for all of your safety! May God His send his angel's to protect you!!!Pray for our fellow Sister who has been shot in the Washington Capital. 🙏PRAY FOR HER! PRAY FOR HER FAMILY!!!!! IN GOD'S NAME PUT YOUR HAD ON THIS WOMAN JESUS!!!! TAKE HER PAIN, GIVE HER COMFORT! COMFORT HER FAMILY!!!! IN OUR ALL MIGHTY LORDS NAME , AMEN!!!!!! 🙏",SAD
Sad day,SAD
Incredible! Twitter Prohibits Users From Sharing or Liking President Trump’s Video Message Calling For Peace!! [VIDEO],SURPRISE
A sad day for Americans...,SAD
Today is a good day!,HAPPY
I wanna cry. Georgia was fraudulent yesterday. Omg,SAD
"OMG 😳 is nauseating,horrendous this is corruption and more corruption and treason 🤬🤬🤬🤬🤬🤬🤬🤬",DISGUST
Interesting....we'll see if it's TRUEor not....!,SURPRISE
The Supreme Court is responsible for this tragedy today. All they had to do was their job. All they had to do is tell these states that it is unconstitutional to go around federal voting laws. This could have been done before the election. They saw what was happening. Instead they chose to turn a blind eye to all the fraud that was so obvious. Then they chose to not here any case brought before them. They left millions of Americans with no hope even in our justice system. Instead what is the media and most of our politicians doing now. Blaming Trump. This could have all been avoided. Simply by following the law.,SAD
Let’s go Patriots!!! 🙏🏼💪🏼🇺🇸🇺🇸🇺🇸,HAPPY
this is no different then Roberts sayihg he won't hear the TX case because there might be riots.,FEAR
Wow...,SURPRISE
Not shocking. Flu and cold are ALL now registered as Covid to inflate the numbers and keep the fear factor going to control your lives!!! Masks off.,FEAR
"The sad reality of todays actions will haunt quite a few of us for a long time. Pence could have righted an obvious wrong. Bidens assent into the office of the Presidency is a very dark blight on our country. His family is evil, his party corrupt. Our Country is on the fast track that empires such as Rome befell. Greatness followed by decline, leading to collapse. We will not come out of this for the better.",SAD
Breaking: See President Tump Mega Viral Message About 6th January,SURPRISE
Hunter Biden of the Biden crime family is a disgusting pig.,DISGUST
Sombre and brutally honest interview with a young lad who was with the woman as she was shot dead inside the capitol building today.,SAD
Oklahoma’s James Lankford caved to fear & took his objection back. Weak! I swear if he believed it was fraud when he walked in there it should have stayed fraud no matter the protest! These weak minded people should have never gotten into office! Where’s are backbone? Not violence! Backbone! Let 80 million down over a fraction!,FEAR
The world has seen nothing like this sort of leadership EVER!! he runs the presidency like everyone dreams about but actually knows how and where to start and then follows through with the big finish.,SURPRISE
"The normally pro-police demonstrators became angered as the officers kept them from entering the plaza. “You lost both sides of support,” one protester yelled. “We had your f**king back, but we ain’t got your back no more.”",ANGRY
Trump warning the left again about the storm...,FEAR
True! I dis not know here in the US there are some people are above the law! Sad!,SAD
Astounding turnout in Texas.People had to be seated in the lobby.Altar full of people repenting & receiving Christ! See you tonight.,SURPRISE
Just outrageously stupid,DISGUST
Twitter panicking more by the day,FEAR
News alert:,SURPRISE
"this is disgusting, traitors to america",DISGUST
Love my country! Love my President! President Trump you are one helluva warrior! ❤️🇺🇸,HAPPY
"""You'll See What's Going to Happen...They're Not Taking This White House, We're Going to FIGHT LIKE HELL"" President Trump at Monday Night's Rally in Georgia",ANGRY
Let's be careful! Watch you back,FEAR
"Parler, the greatest app yet?",SURPRISE
Want a smile...watch this!,HAPPY
Made me cry 🇺🇸🇬🇧 love you all.....best wishes from a U.K. patriot 💟☮️,SAD
