text,s_palak_label,s_ben_label,p_palak_label,p_ben_label
You’re totally right. You only have to hear Brett Baier trying to blame the President and diminish the validity of objecting the fraud. This scoundrel is worst than CNN Cuomo.,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
Patriots here in DC are packed full full. Everyone is in anticipation. Great vibe. Follow me if you love these photos and my coverage,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
So sad,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
Excellent commentary from our fearless President Trump.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Rise up!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Nice one!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
BAD ASS ❤️🇺🇸❤️🇺🇸,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Good call.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Give glory where it is due. Thank you God and thank you Patriots,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Sadly I am not surprised. Another in your face cheat. Until we see arrests, there will be no trust in our elections or our government.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"Yes, Lin, it’s time. Anons see and hear you sir, 5:5. Keep bringing it!",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Damn right!!,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
"Once the People can no longer trust the integrity of the vote, the system as a whole fails. This will always lead to violence. Once the population concludes that the system no longer works for them, the civil society and social contract breaksdown #stopthesteal",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Rep. Crenshaw Wrecks AOC: She Embodies 'Worst Stereotypes of the Millennial Generation',OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
She is damn good ! Praise her !,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
A beautiful moment in time I will never forget.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Cowards,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Love my country! Love my President! President Trump you are one helluva warrior! ❤️🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Internet is getting bad in DC,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
That would be WAY too late. It's past that point now unfortunately. God help us.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Warms the heart!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Trump is a treasonous disgrace to this country.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
She's right!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
KEEP THE FAITH.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Knew she could not be trusted.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Ruby and her daughter done them proud yet again. The fat ass lady in Georgia is singing.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
They Were Letting Them In - There Was No Reason to “Break-In”:,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Great message!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Good one!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
You and Pence and the rest of the RINOS betrayed us and are the cause of THIS death spiral you fucking idiots!!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Hahaha this is going to get alot worse for you traitors!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
COWARDs,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Don’t care what the little Putz has to say,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"The so called Capital Intruders were not Trump Patriots! They were #antifa <a href=""/profile/TedCruz/posts"" class=""at"">@TedCruz</a> <a href=""/profile/RepLouieGohmert/posts"" class=""at"">@RepLouieGohmert</a> <a href=""/profile/augustpflugertx/posts"" class=""at"">@augustpflugertx</a> <a href=""/profile/TeamTrump/posts"" class=""at"">@TeamTrump</a> <a href=""/profile/PeteSantilli/posts"" class=""at"">@PeteSantilli</a> <a href=""/profile/InfoWars/posts"" class=""at"">@InfoWars</a> <a href=""/profile/WarRoomPandemic/posts"" class=""at"">@WarRoomPandemic</a> DC NEWS is lying it’s ass off! I witnessed it first hand!",OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
"Big win today for we the people, for our greatest president Trum",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Welcome Home!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Seems like this guy needs to be found and Wadded u,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"It's Going to Be HUGE! Join President Trump outside the White House on January 6th at the 'MARCH TO SAVE AMERICA'Be safe. Stay in groups - never be alone. Keep your eyes and ears open. And have fun!WWGIWGA!NESARA / GESARA, PROSPERITY FUNDS, WORLD PEACE, ASCENSION",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Lin Wood is an idiot. And so are you!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
BREAKING NEWS...Attorney General Barr says he sees no evidence of rioting in the Capital today !!!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Democrats are scum .,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I could use you fighting with my crew in a few hours. You have more guts and cahones than the doomers that I see! Love that big patriot energy,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
How can the ‘percentage vote count’ GO DOWN when more and more votes are counted?,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"We stand with you Patriots. Keep fighting the good fight! Stand your ground, and stay safe! 🇺🇸🇺🇸ECHO TO SHOW YOUR SUPPORT",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Somebody needs to stand there and guard that shit,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Right on every word.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
They needs to get a lot better formatt! Or they are going to loss all there business!! It is a terrible platform!!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Tick Tock is deleting all of the evidence all the Patriots work so hardly today to collect to prove these thugs that broke into the Senate we're actually antifa organized thugs and it's propaganda bullshit spread the message,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"And another one’s gone, and another one’s gone, and another one bites the dust....",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"What the hecks going on, is anyone getting posts? Or is the system overloaded/shutdown?",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"An unnecessary death, my prays go out to her family",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Ultimate chess player,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
So true!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Think that Parler is blocking comments from somebig players. Or just too much traffic?,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Love this- could watch it over and over!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Deep State wins again!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"This is #FUCKANTIFA, #BLM, DemoRats, & Pences fault! Patriots didn't do this!",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
They missed it the dipshits......,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Nurse in 'perfect health' found dead after getting a COVID-19 vaccine,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"As Antibiotic Resistance Crisis Grows, FDA Fails to Curb Drug Use on Factory Farms • Children's Health Defense",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Hope this is True,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I told you Trump speech was not good. I told you. And you told me im not a patriot. Again!!! Get your ass to capitoll hill now. Pence sold us out,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I step offline for a deposition and 💥BOOM💥... ALL crap breaks loose,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
We are very excited to have thousands of new followers on Parler today. Please echo this post so your patriotic friends can connect with us also. Thank you!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"a href=""/profile/Lightwriter/posts"" class=""at"">@Lightwriter</a> I’m already sick!! Warnock did not honestly win that seat!",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"Great show, I appreciate your show. I'm sleeper warrior for God. Thank you. Stay strong",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
AMBER ALERT issued for the seasonal flu. Last seen standing between a useless cloth mask and useless Dr. Fauci...,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I hate how they represent our profession! Fire them all.,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Very true !,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Lincoln you are correct,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Very interesting! I dare you to read it.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Every chance we get we will be doing this and taking joy in it.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
THANK YOU!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Nonsense. Man u,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
A PATRIOT 🇺🇸🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Arizona...we are proud of your integrity..,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Me too. Glad you're here.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Antifa & blm are suicidal,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thank you and so glad to have you on our side!🙏❤️🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
The fucking search on this app is broken,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I'm Banned again from Fakebook for 30 days for sharing your video of the Jamaican fella talking about the covid vaccine. Simply ridiculous.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I will NOT forget these reports. Ever.,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
I LOVE YOU PATRIOTS! 🇺🇸SO PROUD OF YOU!🇺🇸🇺🇸🇺🇸❤️❤️❤️🙏🙏🙏,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I LOVE THIS! 👏👏👏👏👏,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Haha. Awesome 👏,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Largest army ever formed to protect the great USA. We Will Prevail.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Too late it’s starting Pence is a traitor,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
I’m proud of my patriots! 🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
You caught it. Just like VA and PA,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
The last #traitor to this nation. The #GOP is officially dead.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Don’t let us down!,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Here We Go Again: DeKalb County Georgia is Re-Scanning Advance Ballots Because of 'Memory Card Issue'...It’s All Rigged!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
We are PROUD of you Mr President! Thank you for Everything!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Good night Patriots ! Have Faith !,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
One of my favorites,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Their symbols will be their downfall !,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Best one yet.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Real bad acting,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thanks Mickey,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Yes, the Supreme Court SHOULD have taken the case.If they do not deal with this properly, quickly this MONTH, It will be a LONG time, if ever again, before I will trust the Supreme Court.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
What looks like I’m back in Facebook jail for three more days for posting a picture of the Georgia state run off. Guess it went against community standards,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Stupid,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
It appears PAY FOR PARKING in DC is all blocked in an effort to hamper our rally.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Ditch them! Don’t fuel the devil.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
So true!TRUMP2020!🇺🇸🇺🇸🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Rush Limbaugh Is Going To Make Your Day!ECHO!!!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Do these idiots still want to defund the police this was how stupid their idea was! We the America People need our Police Officers. We the American People care for our officers.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"I don't know about anyone else, but I'm tired. Nothing will be fixed by 2022 or 2024. Too many are bought, too many are corrupt. The USA died today.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
The honor this man has brought to the average American is incredible..He is a Warrior for the People and sent by God..We are blessed to have this man champion the People...GOD BLESS PRESIDENT TRUMP..,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
This is war...,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"A mathematician or a musician, will love this one....",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Man, americans cant call in Europe now, the signal is jammed as well, comunications stop! This is insane. You need a good tool to protect your IP adress. Link belowNordVPN",OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
"Hi Bbuchanan, let's just keep sending this back and forth shall we. Great post and needs to keep going. Thanks for following me, and putting this on, I will be watching for your messages they are interesting and informative. I like that. I know you have seen my invite to See my latest book, on Amazon so I will just hope you get an opportunity to take a look, I think you will find IT interesting and informative. You take care my friend and ALWAYS REMAIN TRUMP STRONG and AMERICA PROUD....",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank You!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"My faith is strong! I know whatever happens, that God is in control!! That gives me peace like non other!!",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"TODAY, THANK GOD",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Love my senator!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Anons do great work exposing their lies. Well done. More will come,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Lin Wood isn’t reliable.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Congratulations Devonte Smith 👏👏 Heisman Trophy winner!!,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
This censorship by Facebook shows how screwed up their censors are. Fact checking this cartoon as false information is ridiculous.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Good to know that we have some great people on our side...thank you all for what y'all do for US....GOD BLESS US ALL...GOD BLESS PRES. TRUMP!!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank you Ted!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank you,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"What the fuck, <a href=""/profile/parler/posts"" class=""at"">@parler</a>How come I can’t open or respond to any posts?!",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thanks Mike,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
sketchy. so sketchy,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Rest In Peace beautiful patriot. Thank you for your service to this country and for standing up for what you believe. We will get justice for you!! #AshliBabbit 😢 😔 💔🇺🇸,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Warnock? Sign of end of USA. Communist. Racist- hates whites. Hates Jews & Israel. Allegedly abusive to ex wife. Lowest quality candidate in history. Remember when liberals lost mind because Trump said he could shoot someone on 5th Ave? Dems just did it!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Best President ever elected,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Thank you for reminding me that no matter who is in office, what is going on in the world, I still serve a king bigger than all of it!",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I love an uplifting happy ending.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Abandon,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Awesome!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Man... There is some pure evil in this world... This type of crime is just appalling.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"a href=""/profile/Mariabartiromotv/posts"" class=""at"">@Mariabartiromotv</a> - Mariabartiromotv - Hello all Wikileaks just dumped all of their...",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
HAWKEY WILL NOT BE INTIMIDATED.,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
Massive ballot dumps for Dems once again. Absolutely disgraceful,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
It's going to get really bad. This government better start listening to we the people,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Newsmax just cut off one of their reporters on the ground in DC because he was saying that he agrees with what the crowds are doing.Newsmax is just as fake as the rest of them.They're trying to control what you see!,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Again they cheat in Georgia. This is not ok. We need to prosecute the cheaters that made this spike.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"My favorite part of Trump and MAGA's failed coup today was when Trump told them, ""Let's go to the Capitol Building"" then promptly abandoned his followers as they marched like sheep into trouble.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thank You Lord🙏🏻🙏🏻🙏🏻🙏🏻,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
You right,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Absolutely correct!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
So proud of all who stood for freedom today!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Best video you will ever watch!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I don’t understand why we’re still using Dominion voting machines for the Georgia election today. Makes no sense!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
MurderTheMedia on the ground!It's very difficult to get video streamed or uploaded right now,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is why we have the 2nd Amendment. Use it or lose it.,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Thank you for your support! TRUTH WILL PREVAIL,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
MSNBC saying that were attacking the police officers were tearing down to the Capitol Building bombs going off this is how pathetic they are,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Happy Wednesday everyone!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Los Angeles County Directive Tells Ambulance Crews Not To Transport Patients With ‘Virtually No Chance Of Survival’ To Hospital #Coronavirus #COVID19,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"a href=""/profile/TaraAnnTexas/posts"" class=""at"">@TaraAnnTexas</a> I have no idea. Gives me a bad vibe with all the talk of money and delays and lack of connections. On top of all of that. The Q drop came out some time ago. This would mean that the alphabet agencies already knew. Not sure what this part is about. Will have to wait and see.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
What a beautiful sight! 🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I just heard that they stopped countingin the GA senate race. Sound familia? Do they think we are stupid?,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
YOU DON'T JUST STOP COUNTING VOTES. THIS IS NOT ACCEPTABLE IN AMERICA!!!!!!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Disgusting piece of garbage.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
MY PRESIDENT!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
The young woman shot today has died. Tragic.,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
I absolutely love my patriots!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I’m ready!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Sun. 27 Dec. was not a good day for Joe Biden. The former Vice President was charged with money laundering billions stolen from the Ukraine, appeared connected to the Christmas morning Nashville explosion that destroyed Election Fraud evidence and was named in a just-released 270-page document by Attorney Sidney Powell that showed a Biden/ Harris link to foreign interference in extensive US Election Fraud cases against the Communist Parties of China, Venezuela, Iran and Russia.The Christmas morning Nashville explosion targeted AT&T which was awarded a contract for an audit of the Dominion Voting Machines believed to have switched Trump votes to Biden. The Tenn. incident appeared connected to destruction of a printing press that produced water marked ballots for the 2020 Election said to have proven that Trump won the election by an 81% vote.None of which, of course, was mentioned in the Mainstream Media that still claimed Joe Biden was president Elect (out of room!)",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
THANK YOU FOR ALL YOUR SUPPORT!!! GOD BLESS YOU ALL!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
God bless this woman and her Family..,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
Hey auntie!! Glad you made the move.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Good luck to you and yours, Sir.",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
We saw what happened today in D.C. and it’s shocking how DUMB media is and how WEAK these gullible Republicans are.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Love all you smart patriots. Have learned so much from all of you. Thank you!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank you all,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
True Patriot!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
It would be a very bad look for the people’s House not to entertain debate if we have a constitutionally acceptable objection signed by a House member and a Senator.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
THIS IS WHAT MAKE ALL SPECIAL ! THIS IS OUR VICTORY 🇺🇸🇺🇸🇺🇸💖,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
Terrible ! Shame on them ‘,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I applaud you !,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
CORRECT.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Wow! Here we go again! With all of America watching!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Dr Jill FYI , your not a real doctor!",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thank You Marjorie Taylor Greene!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Love ❤️ Jim Jordan! My favorite,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Absolutely now,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Horace Cooper just told the truth! 💥 love it!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Im sick to death of hearing all this shit. Nothing ever comes of it anyway because everyone who has the power are part of the swamp. Call me when someone actually does something other than post shit.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This last makes me a very proud American patriot. These sell out congressional RINO's need to be voted out permantely! This lady has my respect!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Good Morning! Have a great day!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Mobs don’t rule America—laws do. It was true when our cities were burning this summer, and it’s true now.",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"We stand by you Mr. President, always have, always will. You are truly, The Peoples President",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Interesting!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
They're too obvious,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I do love Tommy.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Facebook is dying.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
😂 God help us! We live in a world ruled by psychopathic monsters and occupied by braindead sheep. Not the best combo!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thank You Reps for standing up for the heart of the law... even when it’s at odds with the letter of the law!,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
GA Election: “Programming Error on Security Key” In Pro-Trump County Forced Voters To Use Backup Emergency Ballots,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Love Alex,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Do not post anything from fox News!They are commie run just like the rest are!!! The reporting today from fox News was atrocious and very misleading like CNN, MSNBC, etc.. No different!!!!",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is a very interesting article about the true nature of viruses in relation to our bodies. Highly recommend the read:,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
He is so right.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
DEEP STATE OBAMA TRASH,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Pence is a fucking coward.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thinking that Republicans will be chastened by losing power is an incorrect conclusion arrived at from a faulty premise: The assumption that Republicans actually give a fuck about protecting or passing conservative laws.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Keep going!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
This is today... that other pic with sunshine is another day last year... go patriots.. love you!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Outstanding!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Please read my article and share it with everyone you know. Thank you!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"R.I.P America, you will always have a place in my heart ♥️",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
You folks are awesome.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Thank you , Go President Trump!",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
This is ridiculous,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"Crazy day but amazingly defining. This is the beginning of amazing clarity. Watch. As I said in my speech tonight, it’s about to get REAL... @realamericasvoice",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
This is the best channel to watch for todays events,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"CodeMonkeyZ + Lin Wood = 🐒 🔥If you missed it, go back to a post from a few days ago where I posted the entire declassified conversation between Mike Pence and Paul Ryan. (2 Photos, swipe left).",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
So disappointed in VP Pence. His political career is over. He won’t even be able to be elected “dog catcher”. I think he forgot who he represented today. Very sad for him & the American people that elected him to represent us.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"We tried that <a href=""/profile/RyanAFournier/posts"" class=""at"">@RyanAFournier</a> and they just ignore say shut up make back room deals and say cut shit into lil pieces and eat it with a fork-giving OUR money away to foreign countries and pennies to us???!! No sir",OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
"114,000 David Perdue votes just vanished.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
So far so good!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"God’s sevenfold promise to Abram.GOD’S PROMISE TO ABRAM. [Gen. 12:2, 3] “I will make you into a great nation, and I will bless you; I will make your name great, and you will be a blessing.1 I will bless those who bless you, and whoever curses you I will curse; and all peoples on earth will be blessed through you.”2",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Fuk that lying piece of shit traitor!! Fukin whole family is scum!! May they rot in hell.. NEVER EVER WILL BE MY PRESIDENT,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Perfectly understandable.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Disappointed #pence #traitor,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Evil,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"Untucking Real!!! Is this really happening? They are using the dominion machines in Georgia......what the fuck is wrong with this picture??? MADE IN CHINA....why weren’t these machines thrown out and every vote counted invalid? This is the dumbest thing I’ve ever heard! Well, second dumbest, everything that comes from <a href=""/profile/EddyBaby/posts"" class=""at"">@EddyBaby</a> is the dumbest!",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
