,text,e_palak_label,e_ben_label
244,"""Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!""",SAD,SAD
245,Extremely scary times!,FEAR,FEAR
246,The Subaru is getting closer to full EV status. Part 2: Install Tesla Batteries - Electric Conversion of a 1980 Subaru Brat Hyper9 Netgain motor EV,FEAR,FEAR
247,BREAKING: An Air Force Veteran from San Diego who served Four Tours was shot and killed in the Capitol today! This is absolutely devastating....Pray for Ashley's family!,SAD,SURPRISE
248,Wow! What is happening?,SURPRISE,SURPRISE
249,DC Is Starting to Panic as It Becomes Clear How MASSIVE Pro-Trump Rally Will Be,FEAR,FEAR
250,Love them all!,HAPPY,HAPPY
251,Saw this coming; especially after Italy's little bombshell this morning!Can we say PANIC IN DC : BIG TIME!,FEAR,FEAR
252,When Trump did his first rally with Kelly and David ! I could tell in his voice that Ga was a lost cause! It’s sad! For this country is now in control of the DumKKKrats! Everyone should pre pare for war against our Government! It is time to hang the bastards and enforce term limits! We can no longer stand for this irrational treatment from our Government! Our constitution is now just a vote away from being totally ruled unconstitutional!,SAD,SAD
253,Sad it’s come to this hopefully congress gets its act together,SAD,SAD
254,BREAKING: President Trump has deployed the National Guard.,SURPRISE,SURPRISE
255,DEATH,SAD,SAD
256,"A very sad day for all families, and it seemed to be orchestrated by Unruly people that infiltrated Trump’s base. It did not take long to find out who was real and not real, they jumped to conclusions it was all Trumps fault. So all the ones who was going to stand and argue the case, all said and done only handful left. Turncoats!!!",SAD,SAD
257,"This is so sad, in a peaceful protest.",SAD,SAD
258,I’ve been telling you very one that this all looks staged .... shame on them!,DISGUST,DISGUST
259,Hahahahaha/ he's antifa,ANGRY,ANGRY
260,"The Second Amendment which protect the right to ""Keep and bear arms"" IS THE ONLY ONE THAT COMES WITH STATEMENT OF PURPOSE: A WELL-REGULATED MILITIA BEING NECESARY TO THE SECURITY OF A FREE STATE THE RIGHT OF THE PEOPLE TO KEEP AND BEAR ARMS SHALL NOT BE INFRINGED.A ""MILITIA"" WAS UNDERSTOOD to be all able-bodied men capable of bearing firearms to Protect the Community. Picture the ""MINUTEMEN"" OF THE EARLY DAYS OF THE REVOLUTIONARY WAR ready on a moments notice when summoned by PAUL REVERE IN APRIL 1775 TO ENGAGE THE BRITISH ARMY AT LEXINGTON AND CONCORD IN MASSACHUSETTS. SUCH MEMORIES WERE STILL FRESH IN THE PUBLIC MIND WHEN THE CONSTITUTION WAS ADOPTED. Many FEARED THAT AN AMERICAN ""STANDING ARMY"" MIGHT BECOME A THREAT TO LIBERTY, like the British forces that had bullied and intimidated the colonist in the years leading up to the AMERICAN REVOLUTION",FEAR,FEAR
261,I love it,HAPPY,HAPPY
262,Absolutely disgusting!,DISGUST,DISGUST
263,They all have that smirky smile....,HAPPY,HAPPY
264,This sentence addresses the biggest and most painful problem most men face in,SAD,SAD
265,The outrage goes only one way.,ANGRY,ANGRY
266,"Even for CNN, this is disgusting.",DISGUST,DISGUST
267,👊💥👊,HAPPY,HAPPY
268,"Pro-Trump Marine Goes Off on DC Police After They Mace Stop the Steal Protesters, &#8216;We Had Your F***ing Back, But We Ain’t Got Your Back No More!&#8217;👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻👆🏻",ANGRY,ANGRY
269,It was Antifa.,ANGRY,ANGRY
270,Bunch of cowards,FEAR,FEAR
271,Disgusting,DISGUST,DISGUST
272,WOW!,SURPRISE,SURPRISE
273,"Senator Cruz proposal to audit these states is their greatest fear, everything flips. The president has indicated up to 8 states are subject to vote authentication where a crime against the US citizens has taken place. We are most familiar with these 6 states, PA, MI, WI,GA, AV, and NV. After we do a 6 states audit, it will determine that several million or several hundred thousand ballots were fraudulent, either by fake paper, fake mail-in, dead person vote, out of state voter, under age voter, felony voter, no resident exist, no such person voter, switch over vote, or other legal reasons for ballot disqualification. We would next have a down ballot change for several people in local city races, congress, senate, and more than likely change the majority in the Senate & Congress. This is what the Democrats, RINO’s, and the DeepState media is keeping quiet about. Our Nov 3, 2020 citizen vote decision must be honored; our nation US Constitution must be honored. This audit must happen",FEAR,FEAR
274,We will skull fuck you Iran bring it on!,ANGRY,ANGRY
275,This is disgusting.,DISGUST,DISGUST
276,"After looking closely at about 1,000 faces, I’m beginning to think antifa undercover is only a small portion of this.This is looking more like angry Americans who have had enough of being kicked around. What’s going to happen when the sun goes down?",ANGRY,ANGRY
277,I love these people.,HAPPY,HAPPY
278,"A bunch of damn scared wussys! I’m amazed how city’s have been burned and destroyed and people’s lives ruined, you didn’t hear much about it but when it hits close to the politicians they all of the sudden are in un-hinged and want to tuck their tails and run! #patriots",FEAR,FEAR
279,Totally amazing. WOW!,SURPRISE,SURPRISE
280,😂🤣😂 must be nervous!,FEAR,FEAR
281,Time to fight!,ANGRY,ANGRY
282,And as cold as Ashli's meat curtains,DISGUST,DISGUST
283,Please join me in offering prayers of condolence to the family of USAF veteran Ashli Babbitt who was shot inside the US Capitol today and lost her life while being treated for a gunshot wound to her neck. This is a terribly sad day for America and surely for her family! May God comfort them in their grief. 🙏🏻🙏🏻🙏🏻,SAD,SAD
284,"Combat in the Capitol, 3447 via @YouTube",ANGRY,ANGRY
285,"Traitor...all these people are so fake...they have all been playing a part. All of it was to fool Trump and the people of the USA. Its all staged, none of these people are legitimate.",DISGUST,DISGUST
286,"If your freaking out. Listen to this. If your not, listen anyway!",FEAR,FEAR
287,Patriot !! Thank you,HAPPY,HAPPY
288,❤️ love this.,HAPPY,HAPPY
289,Rep. Jim Jordan roasted the crooked democrats.,ANGRY,ANGRY
290,We are angry!!,ANGRY,ANGRY
291,See David Harris Jr Big Statment Today!,SURPRISE,SURPRISE
292,Pre-planned!,DISGUST,DISGUST
293,Pretty sure he is the Grand Poo Baa of all Pedophiles. Another reason to Arrest his sick ass.,ANGRY,DISGUST
294,FIGHT,ANGRY,ANGRY
295,Welcome glad your here!!,HAPPY,HAPPY
296,💥,HAPPY,HAPPY
297,Sorry about this one.. this is how i feel right now...,SAD,SAD
298,"The sad reality of todays actions will haunt quite a few of us for a long time. Pence could have righted an obvious wrong. Bidens assent into the office of the Presidency is a very dark blight on our country. His family is evil, his party corrupt. Our Country is on the fast track that empires such as Rome befell. Greatness followed by decline, leading to collapse. We will not come out of this for the better.",SAD,SAD
299,CIVIL DISOBEDIENCE IS KEY TO FIGHT AGAINST COMMUNISM!,DISGUST,DISGUST
300,This is pure 🔥🔥🔥,HAPPY,HAPPY
301,Chinese News Network - garbage,DISGUST,DISGUST
302,Disgusting. #orchestratedchaos #orchestratedviolence #setuptopushthenarrative,DISGUST,DISGUST
303,Breaking: Georgia Rep. Vernon Jones Announce Big News About Voting,SURPRISE,SURPRISE
304,I approve of storming the capitol and all news media offices.,ANGRY,ANGRY
305,What a coincidence!!!,SURPRISE,HAPPY
306,Another disappointment.,SAD,SAD
307,"In a war, you fight back. The demonic left has been at war with the foundations of America for some time. General Patton had the right idea.",ANGRY,ANGRY
308,It’s sad that I only look at politicians as criminals.,SAD,SAD
309,Wow 🤩 just wow! ❤️,SURPRISE,SURPRISE
310,Best happy ending ever..!!,HAPPY,HAPPY
311,♥️♥️♥️,HAPPY,HAPPY
312,BREAKING NEWS! #ItalyDidIt,SURPRISE,SURPRISE
313,I’m crying! derf_famous (@derf_famous) Tweeted:GOOSEBUMPS#letfreedomring #trumptrain #westandwithyoumrpresident #ilovemynation #donttreadonme #trump2020 #proudtobeanamerican,SAD,SAD
314,Wow! ‼️🚨,SURPRISE,SURPRISE
315,"""One of the best news outlets right now is the Epoch Times. They not only do a tremendous job breaking the most important stories and (shockingly) investigating the issues, they also do things like this. This infographic shows most of the Election Fraud Allegations up to this point, take a look.""#News #FakeNews #MSM #Media #SocialMedia #Politics #ArmyForTrump #Trump #Biden #Election #ElectionFraud #EpochTimes #VoterFraud #Infographic",SURPRISE,SURPRISE
316,EVERYONE NEEDS TO HEAR THIS TRUTH! PLEASE LISTEN TO THIS CALL. YOU WILL BE SHOCKED! #Italydidit,SURPRISE,FEAR
317,"When the people fear the government, there is tyranny...When the government fears the people...There is liberty.",FEAR,FEAR
318,Tom Brandt2/2Just walked through our United States Capitol. This is despicable. This is unbelievable. All of it.,DISGUST,DISGUST
319,These people are antifa,ANGRY,ANGRY
320,It was a nervous and experienced Capitol Hill f****** joke of a policeman that think themselves the pictorial guard that shot somebody in the neck by accident you can check Taylor Hanson's Twitter feed he was right next to the girl when she got shot liveAnd you can tell these are antifa fools that are shooting off the fire extinguishers,FEAR,FEAR
321,Bejing Biden and his Merry band of socialists should be nervous.,FEAR,FEAR
322,SCARE EVENT NECCESSARY.TRUST THE MILITARY.TRUST TRUMP.TRUST GOD.🙏 🙏 🙏,FEAR,FEAR
323,Love this‼️ 🙏🏼✨🙏🏼,HAPPY,HAPPY
324,KEEP FIGHTING PATRIOTS!!!!,SAD,ANGRY
325,I LOVE this idea!,HAPPY,HAPPY
326,Thank God for Ted Cruz. I'm literally crying.,SAD,SAD
327,"My heart can’t take it anymore, know I can feel Trumps pain every day of his presidency, fighting this evil enemy. Sad.",SAD,SAD
328,Today is a very dark day in our history!,SAD,FEAR
329,So weird!,DISGUST,DISGUST
330,BREAKING NEWS:That’s not what he said when he testified. Changing the story much???,SURPRISE,SURPRISE
331,"""You'll See What's Going to Happen...They're Not Taking This White House, We're Going to FIGHT LIKE HELL"" President Trump at Monday Night's Rally in Georgia",ANGRY,ANGRY
332,"They are scared of him. This is a good sign. They are becoming desperate. Hold the line, Patriots.",FEAR,FEAR
333,👀🔥🐸🍿,HAPPY,HAPPY
334,"If it doesn’t happen through either Congress or through the insurrection act and the military, it will happen through WE THE PEOPLE and our 2nd Amendment rights. Sadly, allowing the steal of our country means certain death to all true Americans and their families. 80 million plus should already be ready to roll. Hopefully it won’t be needed as it will be ugly but options are running scarce.",SAD,SAD
335,"The thing they fear the most, per Q: The Great Awakening! They cannot handle us. They had to steal the election to show us that they are still in control and what we want does not matter.",FEAR,FEAR
336,this is no different then Roberts sayihg he won't hear the TX case because there might be riots.,FEAR,FEAR
337,💥 💥 💥,HAPPY,HAPPY
338,Let the killing commence.,ANGRY,ANGRY
339,DIRTY BITCH,HAPPY,DISGUST
340,"Damn right! If you're not with us , you're against us! Get the f*ck out of the way ! No Trump No Peace! MAGA!",ANGRY,ANGRY
341,❤️,HAPPY,HAPPY
342,The Left wouldn’t hesitate to do the same. The Left plays dirty and then throws a temper tantrum when they start to lose after they tried to win by cheating.,ANGRY,ANGRY
343,LOVE THIS ONE,HAPPY,HAPPY
344,"Kamala's victims, Heartbreaking video of Felita and Andre Sample who brought the obstruction of Justice Charge against Kamala Harris for putting the homeless onto a nuclear waste site and they describe their illness. Andre now has large cancers on his back. The site is an EPA superfund site for nuclear radiation.",SAD,SAD
345,Be careful out there!,FEAR,FEAR
346,Sick! Sick! Sick!,DISGUST,DISGUST
347,Mother loving Grrrrrrrrr..,HAPPY,HAPPY
348,Blissful bride who towers over her husband silences critics: 'Love knows no boundaries',HAPPY,HAPPY
349,"THEN DO SOMETHING, DOJ!!",ANGRY,ANGRY
350,She passed.... May prayers go out to her family. Here are the shooters,SAD,SAD
351,If she is a true Trump supporter this is disgusting.,DISGUST,DISGUST
352,"Unfortunately and as expected, this is what happens when you stop counting legal votes on election day, as this opens the door overnight to add illegal votes to ""fix"" the election! Our elections have 0 integrity left! #GeorgiaRunoffs #BallotDumps #TruthTellsAll #TheMoreYouKnow #SadButTrue",SAD,SAD
353,She is no doubt a fighter,ANGRY,ANGRY
354,This is what is being briefed on the Hill today re election fraud - for those of you who want to go to the source rather than get it second-hand.Congressional_Election_Fraud_Briefing_4JAN2021 v20Diseminationpptx,DISGUST,DISGUST
355,Scary ❌❌Watch at own Risk,FEAR,FEAR
356,"I wrote this on November 5th, 2020. It's as true and relevant today as it was then. I fear out divide has become so wide, that there is no way to bridge it any longer. I would love to be wrong, but I don't think I am. Both sides are so aghast at what the other side means when they say ""America,"" that it angers them mightily. I'd love a way back to unity, but I just don't see it as a possibility.",FEAR,FEAR
357,And to all a good night...💋❤️🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁🦁,HAPPY,HAPPY
358,This is alarming...to say the least. #FakeVirus #Plandemic #FakePandemic,FEAR,FEAR
359,A young man raised well,HAPPY,HAPPY
360,Filthy inbred white trump supporters,DISGUST,DISGUST
361,Truly sad day in America’s history!,SAD,SAD
362,I am deeply saddened by what took place in our nation’s capital today. Our country is in trouble. We need God’s healing and we need God’s help. Pray for peace and the protection of our nation. Let’s come together—on our knees.,SAD,SAD
363,The Supreme Court is responsible for this tragedy today. All they had to do was their job. All they had to do is tell these states that it is unconstitutional to go around federal voting laws. This could have been done before the election. They saw what was happening. Instead they chose to turn a blind eye to all the fraud that was so obvious. Then they chose to not here any case brought before them. They left millions of Americans with no hope even in our justice system. Instead what is the media and most of our politicians doing now. Blaming Trump. This could have all been avoided. Simply by following the law.,SAD,SAD
364,“And then they ran to the mailbox” boy that got me fired up!!!,ANGRY,ANGRY
365,"When they want to steal our country, you are damn right we are going to fight back!",ANGRY,ANGRY
366,"It looks like Pelosi decided to provisionally accept the republican from Iowa in the house. The same may happen to the New York representative. This means Pelosi can send them home and bring two Democrats back to serve the two year sentence. She would not do this before the runoff senate race in fear of igniting controversy. If they win both senate seats, she’ll make the move. Republicans must fight like hell!",FEAR,FEAR
367,Figúreles... the patent are tal to jail while the unruly violent children Can do whatever the hell they want. Disgusting,DISGUST,DISGUST
368,"ITS A SAD REALITY, MOST IMPOSE TERM LIMITS PRONTO, THIS PEOPLE IN CAPITAL HILL THINKS THEY ARE KINGS",SAD,SAD
369,RIP and prayers to all family and friends of this fine American.This was yet another needless death .... that would get much more attention from MSM if she was black.God Bless you all & may God take you into His Loving Arms & care for you throughout all eternity.,SAD,SAD
370,"The Squad's All Here to Mainstream Radicalism: Squad Members Rejoice as Democrats Take Senate, Begin Listing their Demands",DISGUST,HAPPY
371,Uma verdadeira façanha...,HAPPY,HAPPY
372,BREAKING NEWS...Attorney General Barr says he sees no evidence of rioting in the Capital today !!!,SURPRISE,SURPRISE
373,A sad day for Americans...,SAD,SAD
374,Can't you just feel the sheer panic from Democrats? Tomorrow is going to be HUGE. Just watch 👇,FEAR,FEAR
375,"Tucker Carlson: “We got to this sad, chaotic day for a reason. It is not your fault. It is their fault.”",SAD,SAD
376,"Late on Election Night – November 3, 2020 -- President Trump led Biden by approximately 100,000 votes in Wisconsin, 300,000 votes in Michigan, 300,000 votes in Georgia, and 700,000 votes in Pennsylvania. Then, suddenly, all four of these states suspended their vote counts, almost simultaneously. By the early-morning hours of the following day, Wisconsin had flipped in Biden’s favor, followed by Michigan soon thereafter. A few days later, Georgia and Pennsylvania followed suit as well.",SURPRISE,SURPRISE
377,DOX THIS PEDO FILTHY COMMUNIST,DISGUST,DISGUST
378,This is MESSED UP!!!,DISGUST,DISGUST
379,BREAKING: Vernon Jones Announces he's switching to the Republican party,SURPRISE,SURPRISE
380,I fear there are all demons coming up out of the Swamp. The Deep State is probably all child molesters.,FEAR,FEAR
381,Share this ugly puss! What a disgusting asswipe!,DISGUST,DISGUST
382,Take back our Country!,ANGRY,ANGRY
383,"Bullshit. This is just more fraud. They went all in this year, and they are committed. There’s no down side for more fraud.",DISGUST,DISGUST
384,Ms. Ashley Babbet and her family will forever remain in our prayers. May she Rest In Peace. Our hearts go out to her entire family. There are no words. 🙏,SAD,SAD
385,"FULL EPSTEIN FLIGHT LOGS SET FOR RELEASE, SPARKING PANIC AMONG ELITES!",FEAR,FEAR
386,Scumbag,DISGUST,DISGUST
387,"Today is unique in the history of America. My condolences go out the family of the young lady who unfortunately loss her life today. My thoughts & prayers go out to @Mike_Pence, members of congress, their staff, law enforcement & the military who were impacted by today’s events.",SAD,SAD
388,"Big Tech’s Influence in Biden Ticket, 2020 Election Raises ConcernsDownload our app to read more at",FEAR,FEAR
389,This is not my America and I am in mourning.,SAD,SAD
390,Give it a damn break. This is so ridiculous!,DISGUST,DISGUST
391,This makes me so happy,HAPPY,HAPPY
392,"Nicely said, but it’s painful to watch masked speakers. I want to see your expression, your passion.",SAD,SAD
393,"For those of you getting scared... This is only the beginning. People are tired, & this needs to happen. It will be coming to your doorstep so be prepared, vigilant, & armed. The enemy doesn't play by RULES!",FEAR,FEAR
394,Twitter panicking more by the day,FEAR,FEAR
395,"A sobering but well-reasoned analysis of the current situation facing our President  @Name Hidden , our country, & our future as a free people.The time has arrived for each American citizen to take a stand.Patriot or Traitor?",SAD,SAD
396,What evidence are they citing Robert? Wow,SURPRISE,SURPRISE
397,"Tomorrow Jan 6th, Biden wins. I am sad. America dies. Communists win.",SAD,SAD
398,"Neighbors bought a leaf blower 🤫 Swipe to shop discounted mock-neck tops for the win 💛 But um... ARE YOU KEEPING UP WITH GA!? This is anxiety on another level lol, we have to keep the Senate!",FEAR,FEAR
399,"BREAKING: Paul Gosar and Ted Cruz Object To Arizona Electors, Receive Uproarious Applause - National File",SURPRISE,SURPRISE
400,He's Antifa,ANGRY,ANGRY
401,George soros looks happy about the current situation.....,SURPRISE,HAPPY
402,Love this!! Thank you Patriots!!! 🇺🇸🇺🇸🇺🇸🇺🇸,HAPPY,HAPPY
403,Wooo hooo,HAPPY,HAPPY
404,It’s time to kick ass and take names. It’s time to Lock and Load Patriots! War!,ANGRY,ANGRY
405,Well she slices off baby faces and wears them cackling before she drinks the blood in her sacrifice to MOLOCH. So there’s that.,SAD,ANGRY
406,So sad. She has died.,SAD,SAD
407,When people fear the government there is tyranny. When the government fears the people there is liberty. Who will fear who after this?,FEAR,SURPRISE
408,Im sick to death of hearing all this shit. Nothing ever comes of it anyway because everyone who has the power are part of the swamp. Call me when someone actually does something other than post shit.,SURPRISE,DISGUST
409,ITS TIME TO LITERALLY FIGHT !!,ANGRY,ANGRY
410,Wow.,SURPRISE,SURPRISE
411,Be careful for the antifa BLM blending in with the peaceful protest to commit and destroy properties. Trump supporters will be blamed for the destruction of property,FEAR,FEAR
412,I'm glad meeting all president Trump followers❤️🧡💚💞💞💕💙💜💜💝💘💗💗♥️,HAPPY,HAPPY
413,The people that think masks can save them from a virus are the same people in school that thought hiding under a desk would save them from an atomic bomb or whatever natural disaster.,FEAR,FEAR
414,They are scared shitless that Trump is the most powerful man in the world for the next two weeks.,FEAR,FEAR
415,"That is the most basic, fundamental, and wonderful statement I have seen!!!! Bless you!!!",HAPPY,HAPPY
416,That's putting it kindly 👇,HAPPY,HAPPY
417,Here us roar,ANGRY,ANGRY
418,"Interesting to me to read what Grassley had originally stated then had his office make a correction. It seems like he might have had a Biden type of slip up. You know, the kind where he accidentally tells the truth?",SURPRISE,SURPRISE
419,Give me liberty or give me death!#riseup#standupforamerica #freedom #istandwithtrum,ANGRY,ANGRY
420,2) Yet in Florida everything is fine. Business as usual. My friends who own restaurants making a fortune. Restaurants packed. Everyone happy & having fun. My buddies own multiple restaurants. They know no one with Covid. Not 1 employee. Not customers. Malls & business booming!,HAPPY,HAPPY
421,"They weren't Patriots, they were Antifa. The tragedy is that Patriot Ashli Babbit followed them in. Those same Antifa terrorists were taking selfies with the ""DC Police"" a short time later.",SAD,SAD
422,Whoa! Big INFO,SURPRISE,SURPRISE
423,THE PATRIOTS ARE RISING UP RIGHT NOW.NO HOLDS BARRED. THIS IS WAR.,ANGRY,ANGRY
424,Nope. He won’t quit fighting. Ding. Ding. Round Two 🇺🇸,ANGRY,ANGRY
425,Sad but true,SAD,SAD
426,"🏰 STOP IN, SHE LOVES COMPANY 🏰TELL EVERYONE IT'S THE PLACE TO GO🔊 ECHO 🔊 ECHO 🔊ECHO 🔊 ECHO 🔊",HAPPY,HAPPY
427,Action! Time to Fight!,ANGRY,ANGRY
428,So sad!,SAD,SAD
429,Any of her former service personnel care to share her story as a Patriot & Friend to the Cause? Seems like a real loss to the Country from my PoV.,SAD,SAD
430,"After months of hyping you up, looking at your pundits and influencers. Look at how they cower like cowards. How they thought this was a game.",FEAR,FEAR
431,"Breaking News:National Guard, FBI Deployed to Capitol – See How They Reacted",SURPRISE,SURPRISE
432,Triste verdade.,HAPPY,HAPPY
433,I see too many people comfortable with the idea of globalism...scary.,FEAR,FEAR
434,TheLeoTerrell:Newsflash newsflash newsflash. Both Republicans are now leading,SURPRISE,SURPRISE
435,READY AND WAITING...🇺🇸❤️🇺🇸❤️🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,HAPPY,SURPRISE
436,"Sad truth is he probably do just that, risked his life to help create a free nation. A bunch of modern day spineless Americans can't even ban together in the ""millions"" to take out a couple ten thousand and free our nation from tyranny. Pathetic",SAD,SAD
437,This video is more likely a Anti fa thug breaking the door. Anifa likes to damage property,ANGRY,ANGRY
438,Breaking: See President Tump Mega Viral Message About 6th January,SURPRISE,SURPRISE
439,It's a disturbing and sad day.,DISGUST,SAD
440,Thank You!,HAPPY,HAPPY
441,BULL SHIT !!!! THIS IS DISGUSTING AND DISTURBING,DISGUST,SAD
442,"OMG 😳 is nauseating,horrendous this is corruption and more corruption and treason 🤬🤬🤬🤬🤬🤬🤬🤬",DISGUST,DISGUST
443,Does anyone actually believe this? What a joke.,DISGUST,DISGUST
444,THEY SHOT THROUGH A LOCKED DOOR OUT OF FEAR.NOT KNOWING WHO WAS ON THE OTHER SIDE!!!! DEMONCRATS ARE TOTAL IDIOTS.THE MEDIA IS SOLD OUT TO CHINAand NOW PATRIOTS ARE DONE WITH YOUR SHIT!!YOU SHOT A WOMAN in the NECK who was UNARMED but BANGING on a DOOR!TOTAL DISREGARD for POLICY and TRAINING! INVESTIGATE THEM NOW!!#riots #colorrevolution #newworldorder #TRUMP #cdc #hunting #guns #economics #crossfit #mma #cfr #bis #fitness #worldgovernment #AGENDA2030 #unitednations#4x4 #fitnessmodel #LOVE #thestorm #joebiden #qanon #ANTIFA #trump2020 #hunterbiden #Q,FEAR,FEAR
445,I LOVE YOU PATRIOTS! 🇺🇸SO PROUD OF YOU!🇺🇸🇺🇸🇺🇸❤️❤️❤️🙏🙏🙏,HAPPY,HAPPY
446,"ECHO and VOTE if you agree ❗️❗️❗️We love Donald Trump, best president ever 🇺🇸❤️🇺🇸❤️Long live USA 🇺🇸🇺🇸🇺🇸",HAPPY,HAPPY
447,The truth about the disgrace we know as Mike Pence has finally come to light for the whole world to see. There is nothing more disgraceful than a man who claims to be a man of God that is a treasonous traitor to the American people and a disgusting pedophile who has and probably still preys upon children. It's time for this charlatan to be brought to justice.,DISGUST,DISGUST
448,It’s time to fight like it’s 1776!,ANGRY,ANGRY
449,This race is a matter of communism or freedom!!! Patriots are ready to fight!! Lawmakers make it right or get the hell out of the way!!,HAPPY,ANGRY
450,"Won’t happen..... HOLD THE LINE......Even in war your mind wants to quit it wants to go home it’s wants a easy out no more stress no more pain...... When those times come look up to God ask for help Pray and believe, and in a matter the light will shine your heart will be filled with the answer..... PLEASE HOLD THE LINE.... President Trump never gave up on anyone of us and we shall not turn our backs on him.",FEAR,HAPPY
451,"Man, I absolutely hate/despise/vehemently LOATHE this POS...I will literally be HAPPY when he leaves the earth, straight to hell",DISGUST,DISGUST
452,Very Scary 😧,FEAR,FEAR
453,Capitol police officer shot and killed an unarmed young woman U.S.A.F. veteran.Officer violated force continuum protocol and jumped straight to deadly force.Charge and arrest officer with unjustified shooting resulting in the death of an unarmed young woman and 14 year U.S.A.F. veteran. SAD,SAD,SAD
454,"So very sad. I have to say again, I wonder, when Pelosi and her cabal buddies were coming up with the plan to infiltrate the patriots with antifa, did they consider how absolutely pissed of those same patriots would be if one of us was killed because of her evil plan? Just wondering.",SAD,SAD
455,The fact that Julian Assange isn’t being extradited to the US is a good thing. His partner is glad. He is glad. The US is extremely dangerous place for Assange.,HAPPY,HAPPY
456,"Nothing stinks more than a group of lying Demonrats. Their breath alone is toxic. From their toxic breath, fills a room of lies. Until the stench becomes unbearable, even for them. The poisonous air soon fills their heart. Ice runs through their veins. They care not for humanity, only a pretext, for a money laundering scam....",DISGUST,DISGUST
457,Wow interesting insight Joe,SURPRISE,SURPRISE
458,'*' BREAKING NEWS: '*'Trump Committed to Challenging Election Beyond Joint Session on Jan. 6,SURPRISE,SURPRISE
459,WE LOVE OUR PRESIDENT!!!,HAPPY,HAPPY
460,"The COVID-19 RT-PCR Test: How to Mislead All Humanity. Using a ""Test"" To Lock Down Society - Global Research“It is time for everyone to come out of this negative trance, this collective hysteria, because famine, poverty, massive unemployment will kill, mow down many more people than SARS-CoV-2!”",FEAR,FEAR
461,We love New York#newyork #newyorkcity #brooklyn,ANGRY,HAPPY
462,Go ahead bitch,ANGRY,ANGRY
463,Tea party time!!!! newameeica.org,HAPPY,HAPPY
464,"Revenge is mine, saith the Lord, I will repay.",HAPPY,ANGRY
465,What a fat ass cunt,DISGUST,DISGUST
466,Do you smell the panic in the air?!,FEAR,FEAR
467,"That was the radical liberal DemocRATs army, so their job was to destroy and create fear in the cities and communities.These Antifa and BLM thugs have now been officially declared TERRORISTS. Let's see how they handle those violent thugs who were involved today.",FEAR,FEAR
468,👀👀👀👆🏽,HAPPY,HAPPY
469,Let’s do this!!!,HAPPY,HAPPY
470,"Apply these crookedwith alot of pressure, they will fold or fck u",DISGUST,DISGUST
471,She is a fake,DISGUST,DISGUST
472,True! I dis not know here in the US there are some people are above the law! Sad!,SAD,SAD
473,After assaulting the Trump supporter and busting her eye wide open she was handed over to police and police protected her from the crowd and let her go.,ANGRY,ANGRY
474,Good!,HAPPY,DISGUST
475,"Mitch McConnell is an IDIOT!!! He is afraid if he does the right thing today that it will keep people from trusting elections again???? You freaking idiot, we no longer trust elections thanks to swampers like you! Follow us for news and humor!",FEAR,FEAR
476,Interesting chain of command. Last I knew President Trump still remains the acting President.,SURPRISE,SURPRISE
477,Yes it’s so crazy and sad.,SAD,SAD
478,Made me cry 🇺🇸🇬🇧 love you all.....best wishes from a U.K. patriot 💟☮️,SAD,SAD
479,He's NOT done fighting.,ANGRY,ANGRY
480,👇🇺🇸💥💥💥💥💥,HAPPY,HAPPY
481,Guns up!,ANGRY,ANGRY
482,Glorious,HAPPY,HAPPY
483,Hmmm... this is new.,SURPRISE,SURPRISE
484,Just outrageously stupid,DISGUST,DISGUST
485,"A California resident finds the media’s lack of curiosity baffling when it comes to the seeming absence of treatment protocols for COVID patients. Why do we keep hearing about deaths but not about treatments? - By Andrea WidburgMy friend buried her husband today. He didn’t die from COVID, but he died all alone, a few days after Christmas.Here in the wasteland of fear that California has become if you enter a hospital, you may never be seen again. Nobody can visit. If you’re too unwell to have the strength to communicate via FaceTime or Zoom, you will miss any possible comfort from, or communication with, those who care about you in your last moments. The same is true for those in nursing homes who have suffered for so long.California is shut down tight, the populace barely clinging to sanity with many people practically too scared to breathe, much less interact with one another in a meaningful way. Masks are worn in cars, on bikes, walking around the neighborhood, as if they",FEAR,FEAR
486,💥💥💥,HAPPY,HAPPY
487,"So this must be still 2020, because it is about the worst day that I can remember. The only thing we could count on to make changes is to vote, and that is now hopeless",SAD,SAD
488,Ted Cruz had a surprising answer on the best way to combat voter fraud - Patriot PulseGET THIS ECHOED VIRALLY!!!!!!!!! Make this go viral!#ChallengeElectoralCollege #TedCruz #ElectoralCollege #makethisgoviral #viral #DeclassifyEverything #WeThePeople #USA #1A #AmericaFirst #DeclareMartialLaw #MartialLaw #InsurrectionAct #FightBack #FightLikeAFlynn #DoNotConcede #HoldTheLine #StopTheSteal #Trump2020 #GodBlessAmerica #12thAmendment #Trending,SURPRISE,SURPRISE
