,text,subjectivity,polarity
282,"🌟🌟🌟🌟🌟🌟JUST IN - VP Mike Pence returned to the Senate, ""and now we will finish the People’s business,"" his spokesperson says.💥💥💥💥💥💥",NEUTRAL,
283,Looks like we are missing a few heads on this Wanted Poster!,OPINIONATED,NEGATIVE
284,Il leur est arrivé de trouver 50 000 bulletins de vote tard hier soir. Les États-Unis sont gênés par les imbéciles. Notre processus électoral est pire que celui des pays du tiers monde!,NEUTRAL,
285,"MY GOD, IT'S ALL REALLY HAPPENING RIGHT NOW!! THIS IS AMAZING.This is history friends. It will be written about and discussed for decades to come. God bless the PATRIOTS AND TRUTH TELLERS.",OPINIONATED,POSITIVE
286,♥️ fight for America 🇺🇸,NEUTRAL,
287,YES ALL CHINA-TIED STORES AS THESE ARE!!,NEUTRAL,
288,"""THE PLAN"" HAD BETTER WORK QUICK OR WE WILL DEAL WITH THIS CRAP WITH M-4S AND ARS!!!",OPINIONATED,NEGATIVE
289,IS THIS WHAT YOU WANTED #SCOTUSROBERTS YOU TRAITOROUS FAILURE OF AN #AMERICAN,OPINIONATED,NEGATIVE
290,#parler having all sorts of technical and network errors. The weight of the truth is crushing...,OPINIONATED,NEGATIVE
291, #woke,NEUTRAL,
292,Amazing. A sea of supporters.,OPINIONATED,POSITIVE
293,Lame stream media assholes.,OPINIONATED,NEGATIVE
294,Don’t we have the most beautiful FLOTUS?Echo if you think so!,NEUTRAL,
295,COWARDS!!,OPINIONATED,NEGATIVE
296,Beautiful!,OPINIONATED,POSITIVE
297,SUCH A DISGRACE.#georgia#raffensperger #dominionvotingsystems,OPINIONATED,NEGATIVE
298,CCP,NEUTRAL,
299,01/04/2021 Raffensperger: made a call in Madarin thanking Chinese for electing him to the State legislature in 2015. He won by 159 votes.[by 秘密翻译组G-Translators]01/04/2021 Georgia secretary of state (Brad Raffensperger) who recently leaked his conversation with President Trump made a call in Madarin thanking Chinese for electing him to the State legislature in 2015. He won by 159 votes.#MAGA #ElectionResults2020 #StopTheSteal #GTV #GNews,NEUTRAL,
300,"WOW WOW WOWTHIS IS YUGE! THE SMOKING GUN! IS THIS THE ""SOMETHING BIG"" POTUS HAS BEEN ALLUDING TO?",NEUTRAL,
301,"WHILE YOU ARE DENIED VISITING YOUR COVID 19 DYING RELATIVES THESE SCUM DANCE TO THE BEAT OF THE FAKE KUNG FLU ELECTION FRAUD IF YOU DONT GET THEY ARE IN ON IT, YOU ARE AS STUPID AS YOU LOOK",OPINIONATED,NEGATIVE
302,Real PatriotsSen. Ted CruzSen. Josh HawleySen. Cindy Hyde-SmithSen. Roger MarshallSen. John Kennedy Sen. Tommy Tuberville,NEUTRAL,
303,Oh I love this.,OPINIONATED,POSITIVE
304,A VOLTA DE RODRIGO CONSTANTINO...OS ESQUERDALHAS CHORAM.,NEUTRAL,
305,Absolutely!,OPINIONATED,POSITIVE
306,There's Pictures of Him with Antifa going around!!,NEUTRAL,
307,bait in riot,NEUTRAL,
308,Patriots found this today. Now pick this shit up Patriots and use it. Thank you Antifa for the weapons you Fuck balls.,NEUTRAL,
309,Thank you! Beautiful To See!,OPINIONATED,POSITIVE
310,"Jesus, please save her!",NEUTRAL,
311,They Were Letting Them In - There Was No Reason to “Break-In”:,OPINIONATED,NEGATIVE
312,I pray for revelation it's time,NEUTRAL,
313,The Patriots were not violent. This violence was staged by the deep state and BLM and antifa.,NEUTRAL,
314,God be with all of you. We're with you. You all are awesome.,OPINIONATED,POSITIVE
315,True !!!!!,OPINIONATED,POSITIVE
316,The Jewish rulers of America are starting their propaganda against #Whites already. It will get worse:,OPINIONATED,NEGATIVE
317,"'*' YOU NEED TO SEE THIS '*'Corrupt Hunter Biden Whines to Friend “Every Great Family is Persecuted, Prosecuted in the US” – Poor Biden Crime Syndicate",NEUTRAL,
318,Perfectly said!,OPINIONATED,POSITIVE
319,#GameOver,NEUTRAL,
320,The msm & big tech gets taken down first. Shut their lines down.,OPINIONATED,NEGATIVE
321,"All sound like good ideas, expecially since we KNOW that no one will be arrest, or presecuted for crimes like arson, theft and or murder. Oh dam wait them are the rules for the dems minons, TRUE Americans arn't allowed to defend or protect themselves or their country.",NEUTRAL,
322,So true,OPINIONATED,POSITIVE
323,Democrats are currently trying to figure out where they can get the 1500 votes to overturn the election with 97% counted. They’ll pull them out of their ass somehow. Perdue do not concede!!,NEUTRAL,
324,"Mitch is the WORST KIND OF TRAITOR BACK STABBER, SNAKE",OPINIONATED,NEGATIVE
325,"6978 🔴LIVE: Trump Supporters Converge on Washington, DC at Freedom Plaza",NEUTRAL,
326, reap what they sow by the looks of it,NEUTRAL,
327,LIVE: #Trump speaks at ‘Save America’ rally @Transparency2020 #Transparency2020,NEUTRAL,
328,Incredible!!!,OPINIONATED,POSITIVE
329,🤬🚫👎SIMPLY PATHETIC!!!👎🚫🤬,OPINIONATED,NEGATIVE
330,She is damn good ! Praise her !,OPINIONATED,POSITIVE
331,Beautiful.,OPINIONATED,POSITIVE
332,SOME GOOD NEWS!,OPINIONATED,POSITIVE
333,"BE WARNED. *NO THREAT*WHEN THE WAR STARTS.. (and it might be tomorrow) MASKERS ARE THE FIRST TARGETS.... its like a bullseye.PLEASE REMOVE THE MASK AND JOIN THE PATRIOTS.That is all.***I LOVE AMERICA, but if you're a democrat.. you've earned the fear you might be feeling *** PRAY TRUMP WINS.",NEUTRAL,
334,Latinos For Trump President @BiancaforTexas in D. C. speaking about the spiritual significance of this rally. #dontstopfighting 🙏🏼🇺🇸🇺🇸🇺🇸❤️,NEUTRAL,
335,Perhaps you should have DONE YOUR JOB and stood up for the president instead of taking the COWARDS WAY OUT........ that will be your legacy you’re a coward mike pence.....,NEUTRAL,
336,‪Larry Elder Show: Sen @HawleyMO & Sen @tedcruz Lead the Charge Tomorrow ‬‪‬‪#ThePostElection ‬,NEUTRAL,
337,Goodnight and hope you rest well because you may not like what you see in the morning,NEUTRAL,
338,"Here are facts...it’s real and it’s documented history!Don't think this will happen here. Think again! If we let Biden in office, if we let the fraud stand, if we don't fight with everything we have, then it will. ""Give me liberty or give me death"". How strongly do you believe those words?",NEUTRAL,
339,lease forward to everyone. The truth has been revealed. Pray safety for all.,NEUTRAL,
340,He is so right.,OPINIONATED,POSITIVE
341,Call it out!!- fraudulent. Do not accept results. N why the hell r they using dominion,OPINIONATED,NEGATIVE
342,Bingo.,NEUTRAL,
343,I tried posting on Facebook and they took this down. Said it was not true!,OPINIONATED,NEGATIVE
344,Am I in Parler jail. Trying to echo with comment and it fails,OPINIONATED,NEGATIVE
345,Real bad acting,OPINIONATED,NEGATIVE
346,First objection Arizona. Here we go.Echo if you stand with Arizona,NEUTRAL,
347,Im sure Kamala has bailed them out.,NEUTRAL,
348,#JonMcNaughton has participated in the planning to storm #USCongress today 01-06-2021 as #Naughton signaled the #COUP in his painting of the #CapitolHill on set on Fire by #SeanHannity last year,NEUTRAL,
349,"WOW, Cocaine Mitch is talking like a complete Democrat. What a disgrace this country is. This is a coup folks, Dems, RINOS & Pravda are pulling on Trump and WE THE PEOPLE",OPINIONATED,NEGATIVE
350,You folks are awesome.,OPINIONATED,POSITIVE
351,Think that Parler is blocking comments from somebig players. Or just too much traffic?,OPINIONATED,NEGATIVE
352,Time to confront these treacherous bastards.,NEUTRAL,
353,She needs to be silenced!✝️🇺🇸🙏,NEUTRAL,
354,"HOW INCREDIBLE, WOW 🇺🇸🇺🇸🇺🇸",OPINIONATED,POSITIVE
355,Some Heroes don't wear capes.,NEUTRAL,
356,She was coordinating the mayhem.,NEUTRAL,
357,"Perdue lead down to 4000. And once again, the late night blue dump gives Democrats just enough to win.Bullsh*t.",NEUTRAL,
358,#ComeOnMan I Already Told You 🥀✨#They Are All #Pedophiles🐊#HistoryRepeats 🔥 Art Imitates Life 🔥#iFaCtChEcKeDItMySeLf🇦🇴,NEUTRAL,
359,this is just HongKong in America,NEUTRAL,
360,Love them all!,OPINIONATED,POSITIVE
361,SWAT arrives,NEUTRAL,
362,Bingo,NEUTRAL,
363,Beautiful .. God is good,OPINIONATED,POSITIVE
364,"The American system of government is totally inadequate to the task—and it’s getting worse every year, with an immoral populace and seditious elected representatives. If you begged, maybe some European country would let you have a monarch, idk.",OPINIONATED,NEGATIVE
365,"My dearly beloved Europe is being systematically murdered, as we speak and as its indigenous people have been bullied into silence and submission by their “tolerant, politically correct” governmental and corporate overlords - and it is absolutely heartbreaking to watch. Forcefully and unnaturally mixing fundamentally different cultures up is NOT the way, you absolute UN monsters, and whoever the fuck else is meddling with our ways.",NEUTRAL,
366,"Odd he had to get up and leave and was not able to engage a conversation. Must be a RhinoOh hell we knew that it’s Shitt Romney, did I get the first name correct",OPINIONATED,NEGATIVE
367,"I received this about 2 hrs ago from my friend, Dean.He had a note on it saying, ""Here we go again!""",NEUTRAL,
368,He’s a fuQing “ACTOR” Echo the heck outta this,NEUTRAL,
369,COWARDs,OPINIONATED,NEGATIVE
370,Just got my FREE MAGA hat. I love it! I recommend it to every Proud Trump Supporter. It’s an honor to have it and it shows my support for the man who FOREVER changed our country for the better!Upvote if Donald Trump is still your PRESIDENT🇺🇸 He never quits! He never backs down! He believes in you!,OPINIONATED,POSITIVE
371,Ok this is funny!,OPINIONATED,POSITIVE
372,A great showman builds up his audience!,OPINIONATED,POSITIVE
373,Bill Announcement | The White House. Bye-bye masks.,NEUTRAL,
374,TRUE AMERICANS SPEAK UPRomney Boards Flight to DC FILLED With Patriots Who Chanted 'Traitor' and Grilled Him About Ties to Biden,NEUTRAL,
375,Another disappointment.,OPINIONATED,NEGATIVE
376,Read part 2Epic,NEUTRAL,
377,"#stopthesteal, JOIN TRUMP ON JAN/6/21 IN WASHINGTON DC ! HUNDREDS OF MILLIONS PATRIOTS INCLUDED NON AMERICANS IN WESTERN COUNTRIES LIKE BRAZIL ARE SHOCKED WITH THE UNPRECEDENTED MAGNITUDE DEGREE OF CHEATING IN THE ELECTION PROMOTED BY THE CROOK, INSIDIOUS AND CRIMINAL DEMOCRAT'S NON STOP CHEATING AND WOKING MACHINE. The globalist leftists/communists thugs can't hide anymore the biggest electoral cheating ever in the political american history. Trump in USA and Bolsonaro in Brazil, just to mention 2 guardians champions of the christian/jewish cultures and values, stand beside hundreds of millions patriots who will defeat the woking globalist leftists/communists that are still populating the schools, universities, main stream medias and deep states. The ineluctable destiny of the globalist leftist/communist ideology is it erradication and destruction. #draintheswamp #electionfraud2020 #keepamericagreat #trumpwon #bidenconcede",NEUTRAL,
378,Keep the videos flowing! Stand strong fellow Americans!,OPINIONATED,POSITIVE
379,Poor president trump.,OPINIONATED,NEGATIVE
380,You are the worst you will never represent me😡😡😡😡,OPINIONATED,NEGATIVE
381,Deciding The Electoral Votes January 6: Vice President Pence Shadows Vice President Thomas Jefferson – Political Vel Craft,NEUTRAL,
382,what attack? I feel like this joint session is a waste of time. they don't believe there was fraud ..which I just don't understand,OPINIONATED,NEGATIVE
383,Love it when the truth emerges.,OPINIONATED,POSITIVE
384,GREAT NEWS!!! WELCOME TO THE RIGHT SIDE OF AMERICA.,OPINIONATED,POSITIVE
385,scum,OPINIONATED,NEGATIVE
386,Awwwwww the AZ objections failed. Too bad Trumptards. Your cult is failing. Fuck you #MAGA,OPINIONATED,NEGATIVE
387,If you're required to wear a mask you know how frustrating it can be to have to take it on and off frequently. Make life simpler with Ghost Shield. 😊🛡️✔️ Easy to Breathe in✔️ Light & Comfortable✔️ Reusable & Strapless✔️ Won't Fog Glasses✔️ Controls Droplet Spread✔️ People Can Hear You Speak,NEUTRAL,
388,Twitter and Facebook are no more than shit I’ll never use either one of them again parlor seems to be the much more honest way to go rest of you are more than welcome to keep committing to these communist Companies but I asked for me never again no way no shape no form to hell with them all,NEUTRAL,
389,Hard to believe we’ve gone downhill this bad,OPINIONATED,NEGATIVE
390,"""Stupid is as stupid does.""",OPINIONATED,NEGATIVE
391,NICE ONE & true!,OPINIONATED,POSITIVE
392,Awesome conviction!!!,OPINIONATED,POSITIVE
393,She needs to be taken out. How the hell she got voted in is beyond me!! She is a toss lunatic and disgrace!,OPINIONATED,NEGATIVE
394,Cannot believe the citizens of GEORGIA DID THIS!!!,NEUTRAL,
395,Word‼️,NEUTRAL,
396,"BREAKING: President Trump Says He Will Lead Supporters in a March on the Capitol After the Speech, ‘You Have to Show Strength'(VIDEO)",NEUTRAL,
397,Cowards,OPINIONATED,NEGATIVE
398,Biden’s Allies Bracing for Democrats to Lose Georgia Runoffs | Watch Dog NewsGET THIS ECHOED VIRALLY!!!!!!!!! Make this go viral!#makethisgoviral #viral #DeclassifyEverything #WeThePeople #USA #1A #AmericaFirst #DeclareMartialLaw #MartialLaw #InsurrectionAct #FightBack #FightLikeAFlynn #DoNotConcede #HoldTheLine #StopTheSteal #Trump2020 #GodBlessAmerica #12thAmendment #Trending,NEUTRAL,
399,We all believe in our President! He said he has a big surprise! We are listening and have hope! My Hotel is filled with patriots and they truly are so very loyal and believe in our President! It’s awesome!!,OPINIONATED,POSITIVE
400,Do it peacefully ... lift not a single hand against any that have BOT raised a hand against you ... AMEN,NEUTRAL,
401,Great!!!,OPINIONATED,POSITIVE
402,"But riot, arson, murder and mayhem, actual crimes, will be tolerated.",NEUTRAL,
403,About damn time!,NEUTRAL,
404,Scamdemic,OPINIONATED,NEGATIVE
405,AZ BLM!,NEUTRAL,
406,"They are stealing from us again, these numbers just don’t look right",OPINIONATED,NEGATIVE
407,ABSOLUTELY,OPINIONATED,POSITIVE
408,Just saying 🙃,NEUTRAL,
409,Yeah… They look real dangerous! Smfh,NEUTRAL,
410,TO THE MOON!!!!!,NEUTRAL,
411,THIS IS INSANE!!!!!!,NEUTRAL,
412,Awesome,OPINIONATED,POSITIVE
413,Trump denies New York Times report that he and Pence are at odds | Just The News,NEUTRAL,
414,"Why is Donald Trump not on Parler yet? Twitter is a disgrace. Pass it on! <a href=""/profile/EricTrump/posts"" class=""at"">@EricTrump</a",OPINIONATED,NEGATIVE
415,1st Communist Senator From Georgia,NEUTRAL,
416,"Newsmax; “very frustrating” number of “outstanding votes” from DeKalb Co. GA just went “from 130,000 to 170,000”It’s coming folks. Keep your eyes peeled!",NEUTRAL,
417,"WATCH: Sean Hannity condemns attacks on the U.S. Capitol, urges Trump supporters to join him",NEUTRAL,
418,Lol that’s funny,OPINIONATED,POSITIVE
419,"I’m a Trump supporter, always have and always will be.It’s amazes me how quickly people bail like rats fleeing from a sinking ship.That’s what separates the real real Patriots from brain washed sheep.I have no intention of giving up on Donald TrumpGod bless POTUS 45",NEUTRAL,
420,Keep posting these pics!,NEUTRAL,
421,"Every @GOP politician is a useless empty suit that doesn’t give a damn about their constituents or this country. Defund <a href=""/profile/GOP/posts"" class=""at"">@GOP</a> please <a href=""/profile/RealRLimbaugh/posts"" class=""at"">@RealRLimbaugh</a",OPINIONATED,NEGATIVE
422,Fantastic.,OPINIONATED,POSITIVE
423,We want a fair election,NEUTRAL,
424,Just outrageously stupid,OPINIONATED,NEGATIVE
425,Love this vid,OPINIONATED,POSITIVE
426,Yes We need to keep repeating this truth,NEUTRAL,
427,"👀 👀 👀If you're going to DC January 6th, know this. And if you're NOT going, echo this so that other Patriots know.",NEUTRAL,
428,Brilliant news!!!! 👊🏻🇺🇸🇬🇧,OPINIONATED,POSITIVE
429,Miracles are happening!,OPINIONATED,POSITIVE
430,Valuable perspective.,OPINIONATED,POSITIVE
431,Absolutely true,OPINIONATED,POSITIVE
432,Yes! Prosecute them to the “Fullest extent of the law”,NEUTRAL,
433,I spoke to Wake Up! Tucson about my plans to object to the Electoral College Votes. Listen to the full conversation below. #AZ05,NEUTRAL,
434,BRAND NEW TRUMP TWEET,NEUTRAL,
435,"SenMikeLee you have lost my vote, you have lost my respect",OPINIONATED,NEGATIVE
436,The fact that the crowd dispersed already almost proves that the disruption inside was primarily Antifa and Trumpers were peaceful for the most part ! But the news will portray a whole other story! #womenfortrump #fightforamerica,NEUTRAL,
437,Computer Repairman with Hunter Biden’s Laptop: Twitter Smearing Me as ‘Hacker’ Destroyed My Business,OPINIONATED,NEGATIVE
438,FUCKING A YEAH! IT'S UP TO TRUMP'S SUPPORTER TO TAKE MATTERS INTO THEIR OWN HANDS SINCE THE FPOS REPUBLICANS ARE SIDING WITH THE DEMOKKKRATS AND VP PENCE JUST SOLD HIS BOSS/PARTNER AND US OUT - FUCK THEM ALL! THEY WANT CIVIL WAR? THEN GIVE IT TO THEM!!!,NEUTRAL,
439,Keep America Great!!!,OPINIONATED,POSITIVE
440,WTF....#DC,NEUTRAL,
441,"FRAUD ON FILM: Female Poll Worker ""Filled out BLANK BALLOTS for over an Hour"", Certified Them With Stam",OPINIONATED,NEGATIVE
442,Breaking! This is bad.,OPINIONATED,NEGATIVE
443,Trump supporters don’t wear helmets!!!,NEUTRAL,
444,That’s good scouts!Keep up the good work!,OPINIONATED,POSITIVE
445,Lots of Love,OPINIONATED,POSITIVE
446,Disgraceful,OPINIONATED,NEGATIVE
447,BREAKING:The Capital building is being evacuated!,NEUTRAL,
448,Love my senator!,OPINIONATED,POSITIVE
449,Gonna end bad y’all!!!!!!,OPINIONATED,NEGATIVE
450,I love this woman. Keep up the great work.,OPINIONATED,POSITIVE
451,Excellent!,OPINIONATED,POSITIVE
452,The Plot to Steal America,NEUTRAL,
453,GOD forgive,NEUTRAL,
454,Too late to do anything about it now. GA is lost.,OPINIONATED,NEGATIVE
455,BREAKING: Wisconsin Legislature Announces Resolution To Be Introduced on Thursday Which Will Likely Decertify State and Award to President TrumpWOOTHOOT 🇺🇸💥🦅🇺🇸💥🦅,NEUTRAL,
456,HOKEY POKEY THIS A FUNKY,NEUTRAL,
457,Escaping through the tunnels,NEUTRAL,
458,Democrat nazis cheated in every state.Republican nazis helped them.,NEUTRAL,
459,Thank you Lee!,OPINIONATED,POSITIVE
460,This is a full recoding of what Obama did to our 2020 Election Coup in Italy!,NEUTRAL,
461,Pelosi is scum.,OPINIONATED,NEGATIVE
462,Governo bloqueia Bolsa Família de doadores nas eleições 2020 - Notícias - R7 Brasil,NEUTRAL,
463,@realdonaldtrum,NEUTRAL,
464,LOOK AT THIS!! THOUGHTS???,NEUTRAL,
465,The whole Parler world will be amazed when Bill Gates will be echoed 10000 times per post and not for good reasons at all. BILL already has plans for the next scamdemic. Lets show him that he has every reason to fear Parler with an echo. Follow me for sure because i will bring much more of these videos u,NEUTRAL,
466,Fake news reporters think we are idiots.,OPINIONATED,NEGATIVE
467,Amazing show of support for President Trump!,OPINIONATED,POSITIVE
468,tanto a loro che glie frega se va tutto in vacca,NEUTRAL,
469,Sad to say but I believe we are down to one option and its not gonna be fun.,OPINIONATED,NEGATIVE
470,Abrams - HUGE conflict of interest..Warnock is racist..Ossoff is senate equivalent of AOC - STUPID!!,OPINIONATED,NEGATIVE
471,#HOLDTHELINE more info is coming out - it was a set up!,NEUTRAL,
472,I love it,OPINIONATED,POSITIVE
473,George Soros has organised the riot supplies for his Antifa pet monkeys to cause trouble in Washington DC tomorrow. 🇺🇸 🇺🇸 🇺🇸,NEUTRAL,
474,And makes you wonder where the right has been this entire time?,NEUTRAL,
475,THE RED SHOES 👠,NEUTRAL,
476,I suppose if it comes down to it I will just join some Patriots like Alex Jones and march down that street and get as many of them as I can before they get me. It really has come down to that. I won't live like this. I will be unleashed.,NEUTRAL,
477,love it,OPINIONATED,POSITIVE
478,It’s getting dark out! Go Home. Antifa and BLM are coming out now!,NEUTRAL,
479,"Taking oaths to uphold the constitution today,is meaningless I’m afraid",OPINIONATED,NEGATIVE
480,"BREAKING: President Trump Tweets “If Vice President Mike Pence Comes Through For Us, We Will Win The Presidency”",NEUTRAL,
481,NOT OK!,OPINIONATED,NEGATIVE
482,What a scumbag lowlife waste of breath!!!!,OPINIONATED,NEGATIVE
483,this is great,OPINIONATED,POSITIVE
484,Just happened to have found another 4000 ballots from Fulton County. Here we go!,NEUTRAL,
485,Thank you!! Keep up the fight!!! Millions of us are with you,OPINIONATED,POSITIVE
486,#meme #memes #burnitall,NEUTRAL,
487,It’s like watching a poorly produced “B Movie” At least get some better ACTORS,OPINIONATED,NEGATIVE
488,That shit was completely unnecessary,OPINIONATED,NEGATIVE
489,Lol he schools her!,NEUTRAL,
490,"""We Will TRIUMPH""",OPINIONATED,POSITIVE
491,Fabulous. Beautiful. Love It.,OPINIONATED,POSITIVE
492,"Yes, Democrats you voted or cheated for this",NEUTRAL,
493,Full audio of the #ItalyGate call. - The Donald - America First!,NEUTRAL,
494,What an absolute disaster...,OPINIONATED,NEGATIVE
495,There is no reason to be using a writing pen/ marker when counting!,OPINIONATED,NEGATIVE
496,THE RIGHT TO VOTE | Great Reset | Sidney Powell | ?,NEUTRAL,
497,"On a precipice,of a 2nd Civil War🤔.  Let’s be honest,r u really surprise this happens. This event happens when government overreach is not checked and voter fraud is excepted for a win. The Democratic politicians need to realize our tax dollars built this district, & our taxes pay their salary, they r our bitches",NEUTRAL,
498,That is awesome,OPINIONATED,POSITIVE
499,Lin Wood (@LLinWood) Tweeted:Indisputable photographic evidence that antifa violently broke into Congress today to inflict harm & do damage. NOT  @Name Hidden  supporters. Do not be fooled. Trump supporters are peaceful. It was antifa that created the violence in our cities over the past several months.,NEUTRAL,
500,Lucifer's Temple,NEUTRAL,
501,Claim Your Limited Edition American Space Force Coin BUNDLE While Supplies Last!,NEUTRAL,
502,"Does anyone else have footage of the broadcast being cut to a promo exactly like this?If so, I apologize. Just seems like a big broadcasting blunder to be a legit clip.",OPINIONATED,NEGATIVE
503,It means you’re not holding the line. Maximum Exposure is taking place. President Trump holds the cards. To prove treason you must show knowingly knowingly knowingly. #trump2020landslide #holdthelinepatriots,NEUTRAL,
504,"This is WHY President Trump needs The Militia's, and every able bodied man and woman, to be in Washington, D.C. on JANUARY 6TH, 2020. Please be there, if at all possible.The reserves cannot be trusted because of their leadership. Please echo this along, upvotes are not going to get this moving. ECHO'S will. Thank you.",NEUTRAL,
505,#fightback#fightbackforamerica#minnesota.,NEUTRAL,
506,LOVE HER!!!,OPINIONATED,POSITIVE
507,"🚨 GEORGIAAll polls were supposed to close at 7pm today. However, six polling places will stay open after “experiencing problems” earlier today. Why do these “problems” always occur in Democratic strongholds such as Fulton County?What’s going on here? After watching all of these “problems” unfold - and the “results” thereafter - I am skeptical we will see a Republican win tonight... if they even finish counting.Live updates coming soon, thank you!",NEUTRAL,
508,We are PROUD of you Mr President! Thank you for Everything!,OPINIONATED,POSITIVE
509,They just stole Georgia. It's 1776 time.,NEUTRAL,
510,"Watch Perdue lose 30,000 votes in real time",OPINIONATED,NEGATIVE
511,6 ....... 6 GOP senators vote to object to AZ:Cruz HawleyHyde SmithKennedyMarshall Tuberville,NEUTRAL,
512,TRUE,OPINIONATED,POSITIVE
513,Shhhhh... Nothing to see here.,OPINIONATED,NEGATIVE
514,AND THE STEAL IS ON.. THIS ALSO FROM TODAY...,NEUTRAL,
515,From Kayleigh McEnany.#Georgia #ElectionFraud,NEUTRAL,
516,"To support and to be one of the communists on the left, you would need to be at the bottom of your class and most likely carried over the finish line as well!!!",NEUTRAL,
517,For those that are naysayers I can verify that Xekta has been in the Ukraine since July 2020 and that us as far as I speak on the subjectU.S. Special Forces spotted in Ukraine.,NEUTRAL,
518,For my Rumble folk💪🏽❤️🇺🇸,NEUTRAL,
519,Amen 🙏🏼🇺🇸❤️✝️,NEUTRAL,
520,Strange breed,NEUTRAL,
521,"MarshaBlackburn What a huge disappointment you are. If you are so stupid you can't see that was Antifa doing the dirty work today, you are a moron. Or a traitor like the rest of them.So glad I didn't waste my money on your bookYou are a disgrace and a traitor.",OPINIONATED,NEGATIVE
522,I would too. Carry everywhere now. The time is now. Get ready for civil war.,NEUTRAL,
523,BREAKING: Patriots Have Stormed the Capitol Building — Masses Breaching Federal Barriers — Cops Losing Control (VIDEOS)BRAVO !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,NEUTRAL,
524,"My Florida patriots , both Rubio and Scott voted against the President. Let show them the road at the next election",NEUTRAL,
525,Absolutely Brilliant,OPINIONATED,POSITIVE
526,"Psalm 2:1-12 God's Son Shall Reign1 Why do the heathen rage, and the people imagine a vain thing?2 The kings of the earth set themselves, and the rulers take counsel together, against the Lord, and against his anointed, saying,3 Let us break their bands asunder, and cast away their cords from us.4 He that sitteth in the heavens shall laugh: the Lord shall have them in derision.5 Then shall he speak unto them in his wrath, and vex them in his sore displeasure.6 Yet have I set my king upon my holy hill of Zion...10 Be wise now therefore, O ye kings: be instructed, ye judges of the earth.11 Serve the Lord with fear, and rejoice with trembling.12 Kiss the Son, lest he be angry, and ye perish from the way, when his wrath is kindled but a little. Blessed are all they that put their trust in him.",NEUTRAL,
527,So far I’m watching Newsmax,NEUTRAL,
528,"The 2021 race for governor is getting hot... except they're all fighting each other, not Murphy.",NEUTRAL,
529,"May we strike ever swift & vigilantly, & cut off the heads of the Hydra!Psalms 144:1",NEUTRAL,
530,MSNBC saying that were attacking the police officers were tearing down to the Capitol Building bombs going off this is how pathetic they are,OPINIONATED,NEGATIVE
531,This is bullshit...BLM riots..no one shot...this country sucks,OPINIONATED,NEGATIVE
532,We cannot let this stand,NEUTRAL,
533,Not a smart move.,OPINIONATED,NEGATIVE
534,He is useless,OPINIONATED,NEGATIVE
535,"Vernon Jones officially a member of the Republican Party! Welcome, Vernon. You are one of our best and brightest. We thank you for your service and courage! #MAGA",OPINIONATED,POSITIVE
536,Ik it’s horrible,OPINIONATED,NEGATIVE
537,"Trump has fucking lost. Accept reality and get on with your pitiful embarrassing lives. The cult is over, live with the shame for a while, then start being nice to your black neighbours again. Turn your hate filled lives into happy ones.",NEUTRAL,
538,Beautiful sight,OPINIONATED,POSITIVE
539,Hell yeah! 🇺🇸,NEUTRAL,
540,Isnt that the truth!! Keep posting please of what is going on!! And stay safe!!,NEUTRAL,
541,"2021 is going to be a big year. Rumble has a lot to live up to.A few things on the docket for 2021:- Live streaming- Closed captioning- Major Roku/FireTV/GoogleTV updates- Apple TV app- Self-serve advertising systemMost importantly, fighting against big tech who is always trying to find a reason to take us down.",NEUTRAL,
542,"Audit the vote, both were 50%, lots of fraud. This could go on and on like NY. This election used the same fraudulent machines, same strategy. Sick and tired. Our President is a Strong man because just this Senate Race has exhausted and frustrated me, imagine how he feels wth all of the fraud in the country.",NEUTRAL,
543,CNN CALLING FOR THE NATIONAL GARDE IS INRESPONSABLE THIS PEOPLE WILL LEAVE THE SAME WAY THEY CAME BUT CNN NEVER ASKED FOR THE NATIONAL GUARD WHEN ANTIFA WAS BURNING DOWN CITIES THEY ARE GOING TO GET PEOPLE KILLED AND THEY ARE RESPONSIBLE.,NEUTRAL,
544,"🦅 If you think China Joe sucks as a criminal but big tech, the media and the swamp are protecting him, please echo this post.. 🦅",NEUTRAL,
545,That's great,OPINIONATED,POSITIVE
546,Michele Whyle (@MicheleWhyle) Tweeted:@LLinWood @RodRosenstein,NEUTRAL,
547,"We welcome you to the other side, the good side fair and true to these United States of America",OPINIONATED,POSITIVE
548,"According to these emails, it looks like Mike Pence and Speaker Paul Ryan were conspiring to kick Trump off the Republican ticket and run as Pence/Ryan in 2016. It ended up getting called off after Trump won the 2nd debate. To be fair, there WAS talk of Trump coming off the ticket after the whole 'grab em by the p****' thing. BUT, I don't like how Pence was conspiring behind our backs. We have to depend on his ass tomorrow! Thanks to CodeMonkeyZ Ron again for this.",NEUTRAL,
549,"Breaking! Georgia Representative Vernon Jones has announced that he is done with the corruption, & is joining the Republican Party!Now more than ever, the Republican Party is in desperate need of leaders that know how to fight. I know how to fight.”-Vernon Jones 🇺🇸",NEUTRAL,
550,Fake. ANTIFA. Block it.,OPINIONATED,NEGATIVE
