text,s_palak_label,s_ben_label
Qll scum,OPINIONATED,OPINIONATED
THIS IS AWESOME! JUST WHAT YOU DESERVE MITT YOU PUKE!,OPINIONATED,OPINIONATED
Peter Navarro Releases “Art of the Steal” Report 👇,NEUTRAL,NEUTRAL
I know in a revolution they call the good guys terorists. I have been through that and luckily i can see very clearly. Make america great again,OPINIONATED,OPINIONATED
Valuable perspective.,OPINIONATED,OPINIONATED
I don't want $600.I don't want $2000.I want businesses open.I want people working. I want life back. I want us to fight for our rights. Take back America#America2021 #TakeBackAmerica #FightBack,NEUTRAL,NEUTRAL
Your exactly right. I choose fight!!!,OPINIONATED,OPINIONATED
"FRAUD is not the voice of “WE THE PEOPLE!!” Truth and God is on our side...the spirit of Freedom will prevail!! 🇺🇸🇺🇸🇺🇸🇺🇸Read the words of a suffering prophet of God, languishing unlawfully in lLiberty Jail - They apply today (Jan 6th 2021) to ALL PATRIOTIC AMERICANS EVERYWHERE!!“Let us cheerfully do all things that lie in our power; and then may we stand still, with the utmost assurance, to see the salvation of God, and for his arm to be revealed.” -Joseph Smith Jr.Doctrine & Covenants 123Gospel Library app or(Relevant links below)#churchofjesuschristoflatterdaysaints#digitalwarriors #quotesandsayings #tennessee #fitnessaddict #goexplore #pawinc #work #d #design #instapic #fgbcfi #believe #wwg1wga #fitfluential #anarchist #trump2020landslide #buildingcommunity #fitnessgoals #events #mormontemples #funny #gainesville #dogsofinsta #quotestagram #quotesgram #wakeupsheeple #coronavirus #celebrity #explorepage #ame #wwg #armyfortrump #sky #traditionalcatholic",OPINIONATED,NEUTRAL
PENCE IS A COWARD,OPINIONATED,OPINIONATED
Some Heroes don't wear capes.,NEUTRAL,NEUTRAL
Welcome!!!!,OPINIONATED,OPINIONATED
"Internet in DC is blocked, this is why so few videos!!! Echo to expose them. Follow me for all the updates",OPINIONATED,NEUTRAL
"a href=""/profile/REBELPRIDE83/posts"" class=""at"">@REBELPRIDE83</a> Traitor!!! Hes such a traitor.",NEUTRAL,OPINIONATED
Love George Carlin!,OPINIONATED,OPINIONATED
Help us spread this like 🔥 and demand the politicians in Washington stand up for our election integrity.,NEUTRAL,OPINIONATED
"a href=""/profile/BlueSkyReport/posts"" class=""at"">@BlueSkyReport</a> | The President must order insurgents to disperse before enacting the Insurrection Act. We are witnessing the greatest crime ever committed in our Country. When Election is certified the crime will be complete.",NEUTRAL,NEUTRAL
Mike Pence is a coward.,OPINIONATED,OPINIONATED
Many thanks to the president and the first lady for their patriotism and unwavering love for this country .,OPINIONATED,OPINIONATED
"Thank you , Go President Trump!",OPINIONATED,OPINIONATED
💥Breaking💥 Shots Fired!,NEUTRAL,OPINIONATED
Mr. President its time to declassify and dump ALL information!,OPINIONATED,OPINIONATED
Big day tomorrow!!!,OPINIONATED,OPINIONATED
We love OUR PRESIDENT! 🥰,OPINIONATED,OPINIONATED
Patriots had enuff!!!,NEUTRAL,NEUTRAL
No sound!!! Sabotage???,OPINIONATED,OPINIONATED
"This is extreme. Who the fuck are you people who have no faith in yourselves? It’s shameful. We didn’t gain our independence through Washington alone. The slaves weren’t emancipated through Lincoln alone. The Nazis weren’t defeated through Roosevelt alone. We the People have always collectively given our faith and grit for this country’s successes through its harshest adversities. The earth doesn’t stop turning tomorrow, or on January 20th. We have tools and methods. Constitutional ones. Many. Start educating yourselves on them and start fighting for this fucking country. Some of us have put time in that area plenty, and still are. The loudest in complaint and resolved to surrender seem to be the ones who want everyone else to do the work. We don’t die on this fucking hill. We keep fighting.",NEUTRAL,NEUTRAL
Will Loeffler & Perdue have a chance to demand a recount? Asking for a friend,OPINIONATED,NEUTRAL
TRAITOR...DEATH.,OPINIONATED,OPINIONATED
THIS IS AN AMAZING MAN. AMERICA YOU ARE SO FORTUNATE TO HAVE HIM AND SIDNEY POWELL FIGHTING FOR YOUR FREEDOM AND THE WORLD.THIS OUTCOME WILL AFFECT ALL MANKIND,OPINIONATED,OPINIONATED
Wow! He means business,OPINIONATED,OPINIONATED
Joe Oltman is great. Check him out on the conservative podcast.,OPINIONATED,OPINIONATED
"COPIED TEXT (woah!!!)🇺🇲✈ATALANTA AIRPORT NEWS: WHAT WAS GOING ON AT ATLANTA AIRPORT LAST NIGHT?✈🇺🇲Most People thought it would never, ever happen. PRESIDENT TRUMP isn't messing around. Once again, future proves past. Enjoy the movie!January 6th will be wild!?!",NEUTRAL,NEUTRAL
Our country is doomed,OPINIONATED,OPINIONATED
What did they expect??? We are tired and weary!!,OPINIONATED,OPINIONATED
Happy little blue.,OPINIONATED,OPINIONATED
THIS WAS PLANNED. IF YOU CANNOT SEE THAT THIS WAS A PREMEDITATED AND PLANNED ATTACK TO DETRACT FROM THE ALLEGATIONS OF VOTER FRAUD THEN YOU ARE OUT OF YOUR MINDS. What should have been one of the MOST important days in U.S history has once again been ruined by evil. #voterfraudisreal#antifaisreal#plannedattackonthecapitol#liberalhypocrisy😡😡😡😡😡😡,NEUTRAL,OPINIONATED
It will be a glorious battle. Now is our time to make history.,OPINIONATED,OPINIONATED
Keep the echo moving,OPINIONATED,OPINIONATED
They just stole Georgia. It's 1776 time.,NEUTRAL,NEUTRAL
ECHOECHOECHO,NEUTRAL,NEUTRAL
Thank you Senator Cruz,OPINIONATED,OPINIONATED
🔴 LIVE: STOP THE STEAL Coalition Pre-Rally at Freedom Plaza Ahead of Tomorrow's Big Events in DC - YouTube,NEUTRAL,NEUTRAL
I guess succession is our next step .,NEUTRAL,NEUTRAL
"BILLS FANS TO CUOMO, STAY HOME: #NYGovCuomo recently signed off on a deal allowing thousands of #BuffaloBills fans to attend the team’s upcoming playoff game. But now, a lot of those same fans are signing a petition to keep the governor out!",NEUTRAL,NEUTRAL
Can’t reward crime and cheating.,NEUTRAL,OPINIONATED
Thank you!! Keep up the fight!!! Millions of us are with you,OPINIONATED,OPINIONATED
I totally agree 🇺🇸,OPINIONATED,OPINIONATED
AMEN 🙏🏻,NEUTRAL,NEUTRAL
Let’s bring this back and spread it like WILDFIRE 🔥🔥🔥🔥🔥🔥#killary #georgesoros,NEUTRAL,NEUTRAL
NEVER FORGET!!!!,OPINIONATED,OPINIONATED
YOU’VE *GOT TO WATCH! WE’RE GONNA BE OK! DJT WAITING FOR PERFECT MOMENT! KEEP THE FAITH-HOLD THE LINE!,OPINIONATED,OPINIONATED
I love an uplifting happy ending.,OPINIONATED,OPINIONATED
"114,000 David Perdue votes just vanished.",OPINIONATED,OPINIONATED
Trump says Pence lacks 'courage' for defying his orders to reject election result,OPINIONATED,OPINIONATED
"BREAKING:Biden Covid advisor says U.S. lockdown of 4 to 6 weeks?!?!Hey Joe, COME AND MAKE US!!ECHO IF YOU KNOW OUR FREEDOMS ARE NOT UP FOR DEBATE!!!",NEUTRAL,NEUTRAL
"And another one’s gone, and another one’s gone, and another one bites the dust....",OPINIONATED,OPINIONATED
Congratulations Devin and Jim!,OPINIONATED,OPINIONATED
Earlier footage shows how the American police were seriously routed around the Capital.They were literally run over.,OPINIONATED,OPINIONATED
"Democrats on the floor are speaking nonsense,None of what they are saying has basis in the Legality of the election.Lots of words, nothing of Substance.",OPINIONATED,OPINIONATED
Very true,OPINIONATED,OPINIONATED
Amazing. A sea of supporters.,OPINIONATED,OPINIONATED
Congressman Waltz (FL) obviously doesn’t recognize the new usual.,OPINIONATED,OPINIONATED
Donald Trump's Most Powerful Speech Ever On Never Giving Up:,OPINIONATED,OPINIONATED
Twatter at it again cancelling Trumps account.,OPINIONATED,OPINIONATED
He’s a great guy and he will stand u,OPINIONATED,OPINIONATED
"#apple has blocked directions to Washington DC <a href=""/profile/John/posts"" class=""at"">@John</a",NEUTRAL,OPINIONATED
"CodeMonkeyZ + Lin Wood = 🐒 🔥If you missed it, go back to a post from a few days ago where I posted the entire declassified conversation between Mike Pence and Paul Ryan. (2 Photos, swipe left).",OPINIONATED,OPINIONATED
"Excellent, Spot on. I applaud every single word and the definiteness in which it was delivered. Amen, Thank you Matt Gaetz",OPINIONATED,OPINIONATED
"It's Going to Be HUGE! Join President Trump outside the White House on January 6th at the 'MARCH TO SAVE AMERICA'Be safe. Stay in groups - never be alone. Keep your eyes and ears open. And have fun!WWGIWGA!NESARA / GESARA, PROSPERITY FUNDS, WORLD PEACE, ASCENSION",OPINIONATED,OPINIONATED
100%,OPINIONATED,OPINIONATED
Great orentayer,OPINIONATED,OPINIONATED
PERDUE LOSES 5000 VOTES IN REAL TIME,OPINIONATED,OPINIONATED
COWARDS!!,OPINIONATED,OPINIONATED
Yeah… They look real dangerous! Smfh,NEUTRAL,NEUTRAL
I would line a list of the Rinos that did nothing to support the will of the people,OPINIONATED,OPINIONATED
It’s coming off the rails!,NEUTRAL,NEUTRAL
Totally amazing. WOW!,OPINIONATED,OPINIONATED
Scumbags is to nice .,OPINIONATED,OPINIONATED
TRUST IN THE LORD,OPINIONATED,OPINIONATED
"Why, why is this allowed, what is wrong with these repub’s that are not supporting trump. They will be remembered in 2022. Guaranteed. America will take revenge on all of them.",NEUTRAL,NEUTRAL
Los Angeles County Directive Tells Ambulance Crews Not To Transport Patients With &#8216;Virtually No Chance Of Survival&#8217; To Hospital,OPINIONATED,OPINIONATED
Yep That’s Correct America,OPINIONATED,OPINIONATED
Will the Media Grill Cuomo this same way?Ron DeSantis DESTROYS this Journalist,OPINIONATED,OPINIONATED
Couldn happen to anyone more perfect. He is a total idiot,OPINIONATED,OPINIONATED
We all are!!,OPINIONATED,OPINIONATED
With no force or weapons,OPINIONATED,OPINIONATED
Twatter and fakebook are blocking him from posting this! What does that tell you. Seems the media is trying to keep the violence going.,OPINIONATED,OPINIONATED
"Thank you for telling the truth, Rep. Jordan. Please primary Rob Portman; you can win. We love you in Ohio.",OPINIONATED,OPINIONATED
The best President ever,OPINIONATED,OPINIONATED
"May we strike ever swift & vigilantly, & cut off the heads of the Hydra!Psalms 144:1",NEUTRAL,NEUTRAL
"Pence caved, all talk but no action. He might as well cross over now! HUGE DISAPPOINTMENT!!",OPINIONATED,OPINIONATED
George Soros has organised the riot supplies for his Antifa pet monkeys to cause trouble in Washington DC tomorrow. 🇺🇸 🇺🇸 🇺🇸,NEUTRAL,NEUTRAL
AMEN!!!!!! LOVE AMERICA !!!!!!!! TRUMP2021!,OPINIONATED,OPINIONATED
Awesome.,OPINIONATED,OPINIONATED
Love this! 😂😂,OPINIONATED,OPINIONATED
#Italydidit my live this morning..,NEUTRAL,NEUTRAL
I agree. Arrests should have started long ago. Now we are in trouble. Fight Trump. Please make arrests.,NEUTRAL,NEUTRAL
Well well well,OPINIONATED,OPINIONATED
Nurse in 'perfect health' found dead after getting a COVID-19 vaccine STAY THE FUCK AWAY FROM THIER FUCKING VACCINES !!! WWG1WGA,OPINIONATED,OPINIONATED
"🦅 If you think China Joe sucks as a criminal but big tech, the media and the swamp are protecting him, please echo this post.. 🦅",NEUTRAL,NEUTRAL
"a href=""/profile/TeamTrump/posts"" class=""at"">@TeamTrump</a> @DBongino <a href=""/profile/RudyG/posts"" class=""at"">@RudyG</a> This proves that Biden had been bought by Burisma officials in acception $900,000.00 and , therefore, cannot be trusted. Biden is a security risk to the Nation and should not hold Office for fear of being blackmailed in return for providing government classified information officials in Ukraine.",OPINIONATED,OPINIONATED
Horrible,OPINIONATED,OPINIONATED
Right now Fox is show news and not showing the numbers meanwhile CNN is breaking down all the numbers.... they are trying to distract you!,NEUTRAL,OPINIONATED
Unfortunately people that don’t know what’s really going on won’t get the message of how corrupt they are,OPINIONATED,OPINIONATED
"What is WRONG with this picture,#PATTIOTS ???",OPINIONATED,OPINIONATED
Excellent Matt,OPINIONATED,OPINIONATED
"""They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!""",OPINIONATED,OPINIONATED
I would too. Carry everywhere now. The time is now. Get ready for civil war.,NEUTRAL,NEUTRAL
It’s already freaking starting...,OPINIONATED,NEUTRAL
I call BS that it's President Trump's fault.,NEUTRAL,OPINIONATED
We are losing the Republic ma’am.,OPINIONATED,OPINIONATED
Let's go patriots. Stand up stand proud we are taking our country back,OPINIONATED,OPINIONATED
Love this...😇😇😇🥰👁👁💥💥,OPINIONATED,OPINIONATED
It wont be necessary. Arrest the coup leaders and their Chinese counterparts tomorrow invoke the insurrection act Mr. President and let gets the shit over with tomorrow. If they delete the vote or the count all it does is a diffuses the patriots that drove all the way from across the country to be here to take over the country from the ilegal Seditionists. And by the way where the fuck is that DNI report? This is not going to be resolved by legal bullshit.,OPINIONATED,OPINIONATED
Pence failed.,OPINIONATED,OPINIONATED
"An unnecessary death, my prays go out to her family",OPINIONATED,OPINIONATED
"With all this talk about what went wrong, when will something be done about it. Are you tired of all the talk and no action. Do something for god sake.",NEUTRAL,OPINIONATED
Perfect song for the happenings of today,OPINIONATED,OPINIONATED
THIS TRAITOR BITCH HAD BETTER GET WHAT'S COMING TO HER!!!,OPINIONATED,NEUTRAL
Chris Wallace shut up. 🤮,OPINIONATED,OPINIONATED
Well Said,OPINIONATED,OPINIONATED
I applaud you !,OPINIONATED,OPINIONATED
Great news.,OPINIONATED,OPINIONATED
"No wonder Washington and Hollywood seem so intertwined, just a bunch of actors.",NEUTRAL,NEUTRAL
Great idea,OPINIONATED,OPINIONATED
Sure,OPINIONATED,OPINIONATED
This is the People'shouse!,OPINIONATED,OPINIONATED
Thank you Red Blooded American Patriots🇺🇸❤🇺🇸!!!,OPINIONATED,OPINIONATED
I hope they rot in hell.,NEUTRAL,OPINIONATED
I just joined Parler and I already have 63 followers! Thanks everyone! President Trump for four more years!,OPINIONATED,OPINIONATED
MY HERO!,OPINIONATED,OPINIONATED
Very sad and confused about the state of GA!!!Over half the state wants a socialist/communist government?Do not trust the counts!!!,OPINIONATED,OPINIONATED
Has anyone heard from our POTUS since he last tweeted? Is he ok? What the hell is going on?? I heard Twitter and FB shut him down.,OPINIONATED,OPINIONATED
Fox News sucks.,OPINIONATED,OPINIONATED
Hahaha Good!!!,OPINIONATED,OPINIONATED
Awesome speech by Trump right now. You gotta love this guy!,OPINIONATED,OPINIONATED
Colorado!Outstanding choice for House Rep. Lauren Boebert!!!,OPINIONATED,OPINIONATED
"Beth Baumann @eb4546mThis is absolutely the stupidest thing I've ever heard. Everyone wanted him to make a statement condemning the violence. He does it and Twitter censors the video and FB deletes it. Unbelievable.ABC News @ABCReplying to @ABCBREAKING: Pres. Trump's video has since been removed by Facebook.""We prohibit incitement and calls for violence on our platform,"" a Facebook spokesperson says. ""We are actively reviewing and removing any content that breaks these rules.”",OPINIONATED,OPINIONATED
Just outrageously stupid,OPINIONATED,OPINIONATED
"#King_of_UK #Royal_ProclamationRoyal Proclamation #4 part 5Joseph Gregory Hallett reads “Royal Proclamation #4” , Proclamation & Certificate in it’s entirety. Split into 6 parts.",NEUTRAL,NEUTRAL
BE SAFE MY BROTHER AND SISTERS. GOD BLESS YOU AND AMERICA,OPINIONATED,OPINIONATED
"EL FUCKO Andrew Cuomo hooked on Bromo, Seltzer back in the day. Was taken off the shelf cause the fizz they said fucked up the brain wave. Now you know what happened to Andrew his brain wave turned to shit they say. Like Obama ""Drunk With The Power""",OPINIONATED,NEUTRAL
"Good luck to you and yours, Sir.",OPINIONATED,OPINIONATED
The political reckoning from this will make the tea party look anemic.,NEUTRAL,OPINIONATED
True,OPINIONATED,OPINIONATED
Awesome! Thank you Rep Jones 👏🏼,OPINIONATED,OPINIONATED
All of these 'Elite' legislators are sending fucking Tweets telling people to stand down.Do they really think the Protestors are checking their Twitter timelines right now? THAT'S HOW STUPID CONGRESS IS!#StopTheSteal #fightback,OPINIONATED,OPINIONATED
"Crazy day but amazingly defining. This is the beginning of amazing clarity. Watch. As I said in my speech tonight, it’s about to get REAL... @realamericasvoice",OPINIONATED,OPINIONATED
Turning faux news off forever. Canceling cable.,OPINIONATED,OPINIONATED
"HEY AMERICA, WE AGREE WITH GENERAL McINERNEY.",OPINIONATED,OPINIONATED
Awesome find,OPINIONATED,OPINIONATED
Pathetic when they have to put disclaimers on your Tweets because you lie so much.,OPINIONATED,OPINIONATED
Disgraceful! What do you think of the montage?,OPINIONATED,OPINIONATED
The LION....interesting,OPINIONATED,OPINIONATED
Our Government has gone rogue!,NEUTRAL,OPINIONATED
Jerk,OPINIONATED,OPINIONATED
#doitmike,NEUTRAL,NEUTRAL
FUCKING TRAITOR...,OPINIONATED,NEUTRAL
"Lindsey Graham has turned out to be the worst kind of rhino, the one who teases you along thinking he’s for the president. All he was after was his own reelection. Joe Biden is not a legitimate president- the election was a fraud. As you say Lindsey, “ stay tuned”hopefully your life gets a whole lot worse now like the rest of us.",OPINIONATED,NEUTRAL
"""THE BEST IS YET TO COME!!!""TRUMP JUST NOW!",OPINIONATED,OPINIONATED
The writing is on the wall. If this rigged election stands no future elections will ever be valid.....ever. Civil war is looking like the only cure to commie democrat rule.,OPINIONATED,NEUTRAL
Traitors,OPINIONATED,OPINIONATED
Interesting timing,OPINIONATED,OPINIONATED
#renzi #italydidit #obama,NEUTRAL,NEUTRAL
The ENTIRE CONGRESS is now ILLEGITIMATE. Military is the ONLY hope of restoring Our Republic. What did Hitlery say about lampposts?,NEUTRAL,OPINIONATED
"WTF? This is a disgrace, they never know when to stop.",OPINIONATED,OPINIONATED
PATRIOT!!!,OPINIONATED,OPINIONATED
"“We always knew this responsibility would take us into the night.”#SpeakerPelosi said that after speaking with House leaders and #WhiteHouse officials, the House will proceed at the #Capitol in the #ElectoralCollege certification. <a href=""/profile/Transparency2020/posts"" class=""at"">@Transparency2020</a> #Transparency2020",NEUTRAL,NEUTRAL
Here you go!,OPINIONATED,OPINIONATED
Stay strong Mr. Trump! You will survive 💪,OPINIONATED,OPINIONATED
I don't need to think about that suggestion for very long!,NEUTRAL,NEUTRAL
They missed it the dipshits......,OPINIONATED,OPINIONATED
Vernon Jones is a good man we would be happy to have you come back.,OPINIONATED,OPINIONATED
Look at this mess!,OPINIONATED,OPINIONATED
Treat them like the terrorists they are.,NEUTRAL,NEUTRAL
I thoughtLin was off his rocker. He is right. Wow...,OPINIONATED,OPINIONATED
Nobody cares.,OPINIONATED,OPINIONATED
A PRESIDENT THAT CARESA PRESIDENT THAT LOVES HIS PEOPLE WE ARE BLESSED TRULY BLESSED FROM GOD,OPINIONATED,OPINIONATED
This guy has a great channel.,OPINIONATED,OPINIONATED
Yes they are now pontificating upon their return hailing themselves as heroes of the Constitution fighting against unarmed people. These professional politicians are truly sick. They do not represent us.,OPINIONATED,OPINIONATED
Okay,OPINIONATED,OPINIONATED
"Loeffler up 84,000 but needles say ""very likely"" Warnock. Looks like Dems are setting up a massive vote dump.",OPINIONATED,OPINIONATED
We agree!,OPINIONATED,OPINIONATED
Absolutely,OPINIONATED,OPINIONATED
Proud Of My Boys and my country.,OPINIONATED,OPINIONATED
A very sick cult at that.,OPINIONATED,OPINIONATED
"Pathetic and absolutely true, these fuckers supported Antifa and now they wanna smash any conservatives they can, and they will, doubt they’ll be any mass releases for this one because they prosecute conservatives in this country now.",NEUTRAL,NEUTRAL
LOVE THIS!,OPINIONATED,OPINIONATED
Well stated!,OPINIONATED,OPINIONATED
Romney =Pond Scum,OPINIONATED,OPINIONATED
"They should’ve thrown him out at 30,00 ft",OPINIONATED,OPINIONATED
Terrible,OPINIONATED,OPINIONATED
"What a disgrace! What’s happening in Washington is beyond words. I’m embarrassed by the actions of so many misinformed, ignorant and easily manipulated people in my party. True Patriots and Conservatives know the TRUTH! No credible evidence was entered into the courts, President Trump simply lost. You are a a fucking disgrace! So I guess it’s ok to act like complete Jack asses next time my daughter soccer teams loses and we instead say she won and then we go rally, protest and ignore facts and reality? My fellow Republicans we LOST! Get a fucking grip you are acting like assholes now",OPINIONATED,OPINIONATED
DOJ Couldn't Keep Jeffery Epstein Alive--What Happened?WATCH HERE:,OPINIONATED,OPINIONATED
Freakin' absolutely!!,OPINIONATED,OPINIONATED
"No longer standing down, no longer standing by",NEUTRAL,OPINIONATED
"Someone needs to Recall her, she is just a Baltimore scumbag",OPINIONATED,OPINIONATED
"You're already dead in the water brother, might as well just come out with who paid you.",OPINIONATED,NEUTRAL
So proud of the patriots. GO GET EM.,OPINIONATED,OPINIONATED
"The Supreme Court is entirely to blame for this. They failed the people in executing due process as outlined in our Constitution. If they had done their job no matter how they ruled, this would have been avoided. It's the denial of due process, loss of trust in our institutions and the rule of law that led us here.",OPINIONATED,OPINIONATED
Hordes of Protesters are streaming peacefully into the CAPITAL building ... Truly remarkable Day made.,OPINIONATED,OPINIONATED
"Today, a great concept in people governing themselves was crippled and brought to its knees.",OPINIONATED,OPINIONATED
Kinda feel sick after reading this.,OPINIONATED,OPINIONATED
"Thank you for including me, Mark!",OPINIONATED,OPINIONATED
Agreed.,OPINIONATED,OPINIONATED
she is definitely dead,OPINIONATED,OPINIONATED
"a href=""/profile/TeamTrump/posts"" class=""at"">@TeamTrump</a> so in dominion, you have to sign your name on the poll pad with your finger on the oath. That signature will never match what it is on paper. They're changing precincts between elections and causing confusion. Brad needs to be tried for treason. Another cluster",OPINIONATED,OPINIONATED
Yes it does !,OPINIONATED,OPINIONATED
I wonder how disappointing this is for the CCP. Have they already killed the scientists from the Wuhan lab for not making this bio weapon more deadly?#scamdemic#plandemic,OPINIONATED,OPINIONATED
Absolutely amazing.......AGAIN,OPINIONATED,OPINIONATED
World wonders,OPINIONATED,OPINIONATED
Please pray that Ashli Babbitt made her way safely to heaven. She was a 14 year veteran from San Diego. She was a true Patriot. Rest In Peace.,OPINIONATED,OPINIONATED
"So why the heck are they calling the election for the Dems?! Never mind, that’s a rhetorical question. I KNOW WHY! THEY CHEAT",OPINIONATED,OPINIONATED
THE FEW.THE PROUD.THE MARINES.🇺🇸🗽⚓️👊🇺🇸🗽⚓️👊,OPINIONATED,OPINIONATED
"Objection to GA electors was just REJECTED due to lack of Senate co-sponsor. No Cruz or anyone else... If not GA, then MI, WI, NV, and PA will also almost certainly go through. 🤬🤬🤬🤬",OPINIONATED,NEUTRAL
"The STEALis in. Pursue lost 32,000 votes in a second. Recorded on video",OPINIONATED,OPINIONATED
VERY SENSITIVE INFORMATION. It’s important to grab this link and pass it on to wake people up. Thank you!,OPINIONATED,OPINIONATED
Always trust the experts..,OPINIONATED,OPINIONATED
I’m sorry but that’s HILARIOUS !!!!!!,OPINIONATED,OPINIONATED
It is not normal! Ridiculous.,OPINIONATED,OPINIONATED
Antifa does a lot of things that are unacceptable. You're talking to the wrong people asshat,OPINIONATED,NEUTRAL
What is wrong with this site?And all these moronic trolls.The block button has never been a better friend,OPINIONATED,OPINIONATED
Amazingly Beautiful the Patriots in DC. 💪 🇺🇸,OPINIONATED,OPINIONATED
"Perdue lead down to 4000. And once again, the late night blue dump gives Democrats just enough to win.Bullsh*t.",NEUTRAL,NEUTRAL
"80% of the politicians in Washington DC tonight, have declared that the sky is purple, AOC is really a sweet milkmaid and Joe Biden is the wholesomest president we will ever have.In summary, the capital was stormed, Adam Schiff wrote a new script and the entire nation was taken hostage. 🤯 Probably for 12 years by a camel-toe, evil-ho. 😖",NEUTRAL,NEUTRAL
This coward!!!,OPINIONATED,OPINIONATED
IS THIS WHAT YOU WANTED #SCOTUSROBERTS YOU TRAITOROUS FAILURE OF AN #AMERICAN,OPINIONATED,OPINIONATED
"Well said, Patriot!😊👍🇺🇸",OPINIONATED,OPINIONATED
Awesome!!,OPINIONATED,OPINIONATED
#ANTIFA THIS ORDER SLIP THROUGH THE CRACKS!!,OPINIONATED,NEUTRAL
"The so called Capital Intruders were not Trump Patriots! They were #antifa <a href=""/profile/TedCruz/posts"" class=""at"">@TedCruz</a> <a href=""/profile/RepLouieGohmert/posts"" class=""at"">@RepLouieGohmert</a> <a href=""/profile/augustpflugertx/posts"" class=""at"">@augustpflugertx</a> <a href=""/profile/TeamTrump/posts"" class=""at"">@TeamTrump</a> <a href=""/profile/PeteSantilli/posts"" class=""at"">@PeteSantilli</a> <a href=""/profile/InfoWars/posts"" class=""at"">@InfoWars</a> <a href=""/profile/WarRoomPandemic/posts"" class=""at"">@WarRoomPandemic</a> DC NEWS is lying it’s ass off! I witnessed it first hand!",OPINIONATED,OPINIONATED
Thank you congressman Jordan for speaking up!,OPINIONATED,OPINIONATED
And no one cares,OPINIONATED,OPINIONATED
Terrible ! Shame on them ‘,OPINIONATED,OPINIONATED
Very proud of all the people that today show up and fight for America,OPINIONATED,OPINIONATED
"Yes, same guy!!!!",NEUTRAL,NEUTRAL
"TODAY, THANK GOD",OPINIONATED,OPINIONATED
Watch with caution. This doesn’t make sense.,OPINIONATED,OPINIONATED
Right On .,OPINIONATED,OPINIONATED
She's as dumb as a box of rocks,NEUTRAL,OPINIONATED
We will hold it with him.,OPINIONATED,OPINIONATED
Cowards and corrupt,OPINIONATED,OPINIONATED
ANOTHER STOLEN ELECTION IN GEORGIA ! We have seen this movie before ! Same kind of shit . No real signature verification . Republicans not being allowed to closely look at mail in ballots and the Secretary of State just dictating what ever BS narrative he wants to feed us ! Even a Supreme Court order got ignored about observing . Democrats just cheat all day long with out a care and we are suppose to accept this ? I don’t think so . 🇺🇸🟥🇺🇸,OPINIONATED,NEUTRAL
Ok spread this like wildfire,OPINIONATED,OPINIONATED
This is a bad bunch of ppl.,OPINIONATED,OPINIONATED
I'm fucking weak!😂😂😂,OPINIONATED,OPINIONATED
"Let's take a short walk down memory lane, shall we?",NEUTRAL,NEUTRAL
Look at this idiot!,NEUTRAL,OPINIONATED
Disgraceful,OPINIONATED,OPINIONATED
Damn right,OPINIONATED,OPINIONATED
"I just heard them say to Congress, “ people are coming in, stay calm, get under your chairs if you need too !”",NEUTRAL,NEUTRAL
Congratulations to a great man and true patriot!,OPINIONATED,OPINIONATED
Wake Up America: It’s a New Year!,OPINIONATED,OPINIONATED
Yes indeed,OPINIONATED,OPINIONATED
It seems I am being censored by parler.,OPINIONATED,OPINIONATED
HE DESERVES SO MUCH WORSE,OPINIONATED,OPINIONATED
BLM gets kid gloves treatment. DC is crap.,OPINIONATED,OPINIONATED
Shame on us for allowing this to happen. What is wrong with us.,OPINIONATED,OPINIONATED
Pence is part of the cou,NEUTRAL,NEUTRAL
"Here is your culprit, catch him and I bet he sings like a canary..",NEUTRAL,NEUTRAL
It would be a very bad look for the people’s House not to entertain debate if we have a constitutionally acceptable objection signed by a House member and a Senator.,OPINIONATED,OPINIONATED
Make him famous.,OPINIONATED,OPINIONATED
Not important to Dems apparently. 👀🤬🤬🤬🤬,OPINIONATED,OPINIONATED
"Our President was taken from us because of fraud. We lost the two Senate seats, probably due to fraud. Our Country is over. Our freedom is gone. They will be coming after our guns now, Are going to give up our guns like we did our President & Constitution?",OPINIONATED,OPINIONATED
“Rod Rosenstein solicited the help of two trusted agents (Rosati & Boroshok) with whom he had worked closely with in the past to organize the operation to retrieve a thumb drive with classified emails always carried by Mr. Rich.” At the Highest Levels – Part 2 of 3 – Neon Revolt,NEUTRAL,NEUTRAL
"🚨LISTEN: <a href=""/profile/Charlie/posts"" class=""at"">@Charlie</a> and I discuss the constitutional option for Vice President Pence.",NEUTRAL,NEUTRAL
I agree completely.....,OPINIONATED,OPINIONATED
